no,subsidy,target,contents,from,contact 1,tell 1,contact 2,tell 2,details_name 1,details_link 1,details_name 2,details_link 2,sample_link ,type of business
1,【給付】子育て世代への臨時特別給付金,令和2年4月分（3月分を含む）の児童手当（特例給付を除く）を受給している方,対象児童1人につき1万円を給付,支給日は、6月10日（公務員を除く）<br>※公務員の方は、申請書をこども家庭課に提出された後、随時支給を行います。<br>公務員の方の申請書は、所属庁から配布されますので、詳しくは所属庁にお問い合わせください。,会津若松市こども家庭課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1243,,,(市HP)子育て世帯への臨時特別給付金について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020060100050/,内閣府ホームページ,https://www8.cao.go.jp/shoushi/shinseido/taiou_coronavirus.html,,
2,【給付】ひとり親世帯臨時特別給付金　★市独自,（1）令和2年6月分の児童扶養手当を受給している方<br>（2）公的年金などを受給していて、令和2年6月分の児童扶養手当の支給が全額停止されている方<br>（3）新型コロナウイルス感染症の影響を受けて家計が急変し、収入が児童扶養手当を受給できる水準になった方,【基本給付】…（1）、（2）、（3）方…1世帯5万円、第2子以降1人につき3万円加算し給付<br>【追加給付】…（1）、（2）の方のうち、令和2年2月以降、新型コロナウイルス感染症の影響を受けて収入が減少した方…1世帯8万円を給付,【基本給付】のうち（1）の方は7月10日に支給済です。<br>【基本給付】のうち（2）、（3）及び【追加給付】は申請書をこども家庭課に提出された後、所得要件等の審査後、該当となる方へ随時支給を行います。,会津若松市こども家庭課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1243,,,(市HP)ひとり親世帯臨時特別給付金,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020120900019/,,,,
3,【給付】(新生児のための)子育て世帯臨時特例給付金　★市独自,令和2年4月28日から令和3年4月1日までに出生した児童,対象新生児ひとりにつき10万円（1回のみ）,所定の申請書に必要事項を記入して、こども家庭課まで提出してください。（郵送または持参）,会津若松市こども家庭課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1243,,,(市HP)(新生児のための)子育て世帯臨時特例給付金のご案内,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020101200039/,,,,
4,【給付】住居確保給付金,離職等で住宅を失った・失う可能性がある個人や世帯,休業などにより収入が減少し離職等と同程度の状況にある方を対象に追加,4月20日より拡大,会津若松市生活サポート相談窓口<br>※土日祝を除く、午前8時30分から午後5時15分,0242-23-4800,,,(市HP)生活サポート相談窓口,https://www.city.aizuwakamatsu.fukushima.jp/docs/2007080301025/,,,,
5,【給付】生活支援臨時特別給付金　★市独自,新型コロナウイルス感染症の影響により減収し、生活に苦慮している世帯,休業等により減収し、世帯の収入や預貯金が基準額以下となった世帯を対象に、子育て世帯は8万円、それ以外の世帯は5万円を給付。,8月3日から3月19日,市総合コールセンター<br>※市総合コールセンターへのお電話は、20秒当たり10円の通話料がかかります。,0570-026263,,,(市HP)会津若松市生活支援臨時特別給付金のお知らせ,,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020071100018/,,,
6,【給付】傷病手当金,国民健康保険の被保険者・後期高齢者医療の被保険者のうち被用者,新型コロナウイルスに感染した場合や感染が疑われ、就労できなかった期間のうち、就労を予定していた日に対し支給<br>※申請前に必ずご相談ください。,4月30日から申請受付,会津若松市国保年金課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1244,,,(市HP)国民健康保険被保険者の場合…国民健康保険被保険者に対する傷病手当金の支給について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020042700117/,(市HP)後期高齢者医療被保険者の場合…後期高齢者医療被保険者に対する傷病手当金の支給について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020043000032/,,
7,【貸付】緊急小口資金（特例）,休業で家計が維持できない個人や世帯,貸付上限10万円（特別な場合20万円）<br>措置期間1年以内、償還期間2年以内,3月25日から申請受付,会津若松市社会福祉協議会,0242-28-4030,,,(外部HP)社会福祉法人福島県社会福祉協議会ホームページ,http://www.fukushimakenshakyo.or.jp/1000.1201.htm,,,,
8,【貸付】総合援助資金（特例）,失業で家計が維持できない個人や世帯,貸付上限単身15万円、複数20万円<br>措置期間1年以内、償還期間10年以内,3月25日から申請受付,会津若松市社会福祉協議会,0242-28-4030,,,(外部HP)社会福祉法人福島県社会福祉協議会ホームページ,http://www.fukushimakenshakyo.or.jp/1000.1201.htm,,,,
9,【減免・猶予】介護保険料の減免・猶予,（１）新型コロナウイルス感染症により、世帯の主たる生計維持者が死亡又は重篤な傷病を負った第一号被保険者<br>（２）新型コロナウイルス感染症により、主たる生計維持者の事業収入等の減少が見込まれる第一号被保険者,介護保険料の全額又は一部を減免・猶予,7月1日から申請受付予定,会津若松市高齢福祉課<br>※土日祝を除く、午前8時30分から午後5時15分　,0242-39-1242,,,(市HP)新型コロナウイルス感染症の影響に伴う介護保険料の減免・徴収猶予について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020052500042/,,,,
10,【減免】国民健康保険税の減免,（１）新型コロナウイルス感染症により、世帯の主たる生計維持者が死亡又は重篤な傷病を負ったとき<br>（２）新型コロナウイルス感染症の影響により、世帯の主たる生計維持者の収入減少が見込まれる世帯,国民健康保険税の全額又は一部を減免,7月10日から申請受付予定,会津若松市国保年金課<br>※土日祝を除く、午前8時30分から午後5時15分,0242-39-1244,,,(市HP)新型コロナウイルス感染症の影響により収入が減少した世帯の国民健康保険税の減免について,https://www.city.aizuwakamatsu.fukushima.jp/docs/2020052000023/,,,,
