No,全国地方公共団体コード,都道府県名,市区町村名,年月日,曜日,件数,備考
1,401307,福岡県,福岡市,2020/2/7,金,26,
2,401307,福岡県,福岡市,2020/2/8,土,,
3,401307,福岡県,福岡市,2020/2/9,日,,
4,401307,福岡県,福岡市,2020/2/10,月,19,
5,401307,福岡県,福岡市,2020/2/11,火,,
6,401307,福岡県,福岡市,2020/2/12,水,16,
7,401307,福岡県,福岡市,2020/2/13,木,7,
8,401307,福岡県,福岡市,2020/2/14,金,31,
9,401307,福岡県,福岡市,2020/2/15,土,,
10,401307,福岡県,福岡市,2020/2/16,日,,
11,401307,福岡県,福岡市,2020/2/17,月,42,
12,401307,福岡県,福岡市,2020/2/18,火,34,
13,401307,福岡県,福岡市,2020/2/19,水,28,
14,401307,福岡県,福岡市,2020/2/20,木,120,
15,401307,福岡県,福岡市,2020/2/21,金,328,
16,401307,福岡県,福岡市,2020/2/22,土,248,
17,401307,福岡県,福岡市,2020/2/23,日,202,
18,401307,福岡県,福岡市,2020/2/24,月,282,
19,401307,福岡県,福岡市,2020/2/25,火,242,
20,401307,福岡県,福岡市,2020/2/26,水,217,
21,401307,福岡県,福岡市,2020/2/27,木,224,
22,401307,福岡県,福岡市,2020/2/28,金,183,
23,401307,福岡県,福岡市,2020/2/29,土,206,
24,401307,福岡県,福岡市,2020/3/1,日,158,
25,401307,福岡県,福岡市,2020/3/2,月,219,
26,401307,福岡県,福岡市,2020/3/3,火,199,
27,401307,福岡県,福岡市,2020/3/4,水,164,
28,401307,福岡県,福岡市,2020/3/5,木,192,
29,401307,福岡県,福岡市,2020/3/6,金,163,
30,401307,福岡県,福岡市,2020/3/7,土,165,
31,401307,福岡県,福岡市,2020/3/8,日,149,
32,401307,福岡県,福岡市,2020/3/9,月,175,
33,401307,福岡県,福岡市,2020/3/10,火,173,
34,401307,福岡県,福岡市,2020/3/11,水,123,
35,401307,福岡県,福岡市,2020/3/12,木,109,
36,401307,福岡県,福岡市,2020/3/13,金,119,
37,401307,福岡県,福岡市,2020/3/14,土,146,
38,401307,福岡県,福岡市,2020/3/15,日,121,
39,401307,福岡県,福岡市,2020/3/16,月,166,
40,401307,福岡県,福岡市,2020/3/17,火,145,
41,401307,福岡県,福岡市,2020/3/18,水,141,
42,401307,福岡県,福岡市,2020/3/19,木,134,
43,401307,福岡県,福岡市,2020/3/20,金,134,
44,401307,福岡県,福岡市,2020/3/21,土,150,
45,401307,福岡県,福岡市,2020/3/22,日,101,
46,401307,福岡県,福岡市,2020/3/23,月,142,
47,401307,福岡県,福岡市,2020/3/24,火,154,
48,401307,福岡県,福岡市,2020/3/25,水,172,
49,401307,福岡県,福岡市,2020/3/26,木,181,
50,401307,福岡県,福岡市,2020/3/27,金,267,
51,401307,福岡県,福岡市,2020/3/28,土,299,
52,401307,福岡県,福岡市,2020/3/29,日,313,
53,401307,福岡県,福岡市,2020/3/30,月,375,
54,401307,福岡県,福岡市,2020/3/31,火,342,
55,401307,福岡県,福岡市,2020/4/1,水,376,
56,401307,福岡県,福岡市,2020/4/2,木,390,
57,401307,福岡県,福岡市,2020/4/3,金,442,
58,401307,福岡県,福岡市,2020/4/4,土,394,
59,401307,福岡県,福岡市,2020/4/5,日,371,
60,401307,福岡県,福岡市,2020/4/6,月,637,
61,401307,福岡県,福岡市,2020/4/7,火,551,
62,401307,福岡県,福岡市,2020/4/8,水,635,
63,401307,福岡県,福岡市,2020/4/9,木,559,
64,401307,福岡県,福岡市,2020/4/10,金,514,
