No,全国地方公共団体コード,都道府県名,市区町村名,年月日,曜日,件数,備考
1,401307,福岡県,福岡市,2020/1/27,月,39,
2,401307,福岡県,福岡市,2020/1/28,火,46,
3,401307,福岡県,福岡市,2020/1/29,水,98,
4,401307,福岡県,福岡市,2020/1/30,木,106,
5,401307,福岡県,福岡市,2020/1/31,金,130,
6,401307,福岡県,福岡市,2020/2/1,土,21,
7,401307,福岡県,福岡市,2020/2/2,日,26,
8,401307,福岡県,福岡市,2020/2/3,月,108,
9,401307,福岡県,福岡市,2020/2/4,火,69,
10,401307,福岡県,福岡市,2020/2/5,水,64,
11,401307,福岡県,福岡市,2020/2/6,木,64,
12,401307,福岡県,福岡市,2020/2/7,金,54,
13,401307,福岡県,福岡市,2020/2/8,土,8,
14,401307,福岡県,福岡市,2020/2/9,日,3,
15,401307,福岡県,福岡市,2020/2/10,月,45,
16,401307,福岡県,福岡市,2020/2/11,火,8,
17,401307,福岡県,福岡市,2020/2/12,水,40,
18,401307,福岡県,福岡市,2020/2/13,木,43,
19,401307,福岡県,福岡市,2020/2/14,金,102,
20,401307,福岡県,福岡市,2020/2/15,土,34,
21,401307,福岡県,福岡市,2020/2/16,日,22,
22,401307,福岡県,福岡市,2020/2/17,月,137,
23,401307,福岡県,福岡市,2020/2/18,火,112,
24,401307,福岡県,福岡市,2020/2/19,水,105,
25,401307,福岡県,福岡市,2020/2/20,木,289,
26,401307,福岡県,福岡市,2020/2/21,金,268,
27,401307,福岡県,福岡市,2020/2/22,土,155,
28,401307,福岡県,福岡市,2020/2/23,日,108,
29,401307,福岡県,福岡市,2020/2/24,月,149,
30,401307,福岡県,福岡市,2020/2/25,火,379,
31,401307,福岡県,福岡市,2020/2/26,水,340,
32,401307,福岡県,福岡市,2020/2/27,木,347,
33,401307,福岡県,福岡市,2020/2/28,金,296,
34,401307,福岡県,福岡市,2020/2/29,土,80,
35,401307,福岡県,福岡市,2020/3/1,日,39,
36,401307,福岡県,福岡市,2020/3/2,月,371,
37,401307,福岡県,福岡市,2020/3/3,火,218,
38,401307,福岡県,福岡市,2020/3/4,水,209,
39,401307,福岡県,福岡市,2020/3/5,木,230,
40,401307,福岡県,福岡市,2020/3/6,金,218,
41,401307,福岡県,福岡市,2020/3/7,土,59,
42,401307,福岡県,福岡市,2020/3/8,日,29,
43,401307,福岡県,福岡市,2020/3/9,月,301,
44,401307,福岡県,福岡市,2020/3/10,火,205,
45,401307,福岡県,福岡市,2020/3/11,水,182,
46,401307,福岡県,福岡市,2020/3/12,木,181,
47,401307,福岡県,福岡市,2020/3/13,金,189,
48,401307,福岡県,福岡市,2020/3/14,土,76,
49,401307,福岡県,福岡市,2020/3/15,日,32,
50,401307,福岡県,福岡市,2020/3/16,月,239,
51,401307,福岡県,福岡市,2020/3/17,火,180,
52,401307,福岡県,福岡市,2020/3/18,水,207,
53,401307,福岡県,福岡市,2020/3/19,木,204,
54,401307,福岡県,福岡市,2020/3/20,金,53,
55,401307,福岡県,福岡市,2020/3/21,土,81,
56,401307,福岡県,福岡市,2020/3/22,日,37,
57,401307,福岡県,福岡市,2020/3/23,月,222,
58,401307,福岡県,福岡市,2020/3/24,火,163,
59,401307,福岡県,福岡市,2020/3/25,水,197,
60,401307,福岡県,福岡市,2020/3/26,木,220,
61,401307,福岡県,福岡市,2020/3/27,金,401,
62,401307,福岡県,福岡市,2020/3/28,土,165,
63,401307,福岡県,福岡市,2020/3/29,日,112,
64,401307,福岡県,福岡市,2020/3/30,月,758,
65,401307,福岡県,福岡市,2020/3/31,火,590,
66,401307,福岡県,福岡市,2020/4/1,水,759,
67,401307,福岡県,福岡市,2020/4/2,木,810,
68,401307,福岡県,福岡市,2020/4/3,金,852,
69,401307,福岡県,福岡市,2020/4/4,土,62,
70,401307,福岡県,福岡市,2020/4/5,日,32,
71,401307,福岡県,福岡市,2020/4/6,月,1472,
72,401307,福岡県,福岡市,2020/4/7,火,1075,
73,401307,福岡県,福岡市,2020/4/8,水,955,
74,401307,福岡県,福岡市,2020/4/9,木,1043,
75,401307,福岡県,福岡市,2020/4/10,金,942,
