受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,帰国者・接触者相談センター相談件数
2020-02-05,210005,岐阜県,,1
2020-02-06,210005,岐阜県,,0
2020-02-07,210005,岐阜県,,0
2020-02-08,210005,岐阜県,,1
2020-02-09,210005,岐阜県,,0
2020-02-10,210005,岐阜県,,1
2020-02-11,210005,岐阜県,,1
2020-02-12,210005,岐阜県,,1
2020-02-13,210005,岐阜県,,2
2020-02-14,210005,岐阜県,,7
2020-02-15,210005,岐阜県,,2
2020-02-16,210005,岐阜県,,2
2020-02-17,210005,岐阜県,,6
2020-02-18,210005,岐阜県,,2
2020-02-19,210005,岐阜県,,5
2020-02-20,210005,岐阜県,,6
2020-02-21,210005,岐阜県,,5
2020-02-22,210005,岐阜県,,2
2020-02-23,210005,岐阜県,,5
2020-02-24,210005,岐阜県,,4
2020-02-25,210005,岐阜県,,9
2020-02-26,210005,岐阜県,,6
2020-02-27,210005,岐阜県,,8
2020-02-28,210005,岐阜県,,9
2020-02-29,210005,岐阜県,,11
2020-03-01,210005,岐阜県,,3
2020-03-02,210005,岐阜県,,7
2020-03-03,210005,岐阜県,,6
2020-03-04,210005,岐阜県,,8
2020-03-05,210005,岐阜県,,5
2020-03-06,210005,岐阜県,,8
2020-03-07,210005,岐阜県,,6
2020-03-08,210005,岐阜県,,2
2020-03-09,210005,岐阜県,,8
2020-03-10,210005,岐阜県,,11
2020-03-11,210005,岐阜県,,4
2020-03-12,210005,岐阜県,,3
2020-03-13,210005,岐阜県,,11
2020-03-14,210005,岐阜県,,3
2020-03-15,210005,岐阜県,,5
2020-03-16,210005,岐阜県,,11
2020-03-17,210005,岐阜県,,5
2020-03-18,210005,岐阜県,,9
2020-03-19,210005,岐阜県,,9
2020-03-20,210005,岐阜県,,1
2020-03-21,210005,岐阜県,,5
2020-03-22,210005,岐阜県,,1
2020-03-23,210005,岐阜県,,11
2020-03-24,210005,岐阜県,,5
2020-03-25,210005,岐阜県,,13
2020-03-26,210005,岐阜県,,16
2020-03-27,210005,岐阜県,,20
2020-03-28,210005,岐阜県,,8
2020-03-29,210005,岐阜県,,1
2020-03-30,210005,岐阜県,,22
2020-03-31,210005,岐阜県,,18
2020-04-01,210005,岐阜県,,21
2020-04-02,210005,岐阜県,,27
2020-04-03,210005,岐阜県,,21
2020-04-04,210005,岐阜県,,15
2020-04-05,210005,岐阜県,,5
2020-04-06,210005,岐阜県,,42
2020-04-07,210005,岐阜県,,41
2020-04-08,210005,岐阜県,,37
2020-04-09,210005,岐阜県,,28
2020-04-10,210005,岐阜県,,43
2020-04-11,210005,岐阜県,,18
2020-04-12,210005,岐阜県,,3
2020-04-13,210005,岐阜県,,42
2020-04-14,210005,岐阜県,,41
2020-04-15,210005,岐阜県,,42
2020-04-16,210005,岐阜県,,39
2020-04-17,210005,岐阜県,,34
2020-04-18,210005,岐阜県,,13
2020-04-19,210005,岐阜県,,6
2020-04-20,210005,岐阜県,,51
2020-04-21,210005,岐阜県,,23
2020-04-22,210005,岐阜県,,16
2020-04-23,210005,岐阜県,,15
2020-04-24,210005,岐阜県,,13
2020-04-25,210005,岐阜県,,11
2020-04-26,210005,岐阜県,,3
2020-04-27,210005,岐阜県,,18
2020-04-28,210005,岐阜県,,12
2020-04-29,210005,岐阜県,,3
2020-04-30,210005,岐阜県,,15
2020-05-01,210005,岐阜県,,10
2020-05-02,210005,岐阜県,,7
2020-05-03,210005,岐阜県,,5
2020-05-04,210005,岐阜県,,7
2020-05-05,210005,岐阜県,,8
2020-05-06,210005,岐阜県,,9
2020-05-07,210005,岐阜県,,17
2020-05-08,210005,岐阜県,,8
2020-05-09,210005,岐阜県,,3
2020-05-10,210005,岐阜県,,3
2020-05-11,210005,岐阜県,,14
2020-05-12,210005,岐阜県,,15
2020-05-13,210005,岐阜県,,11
2020-05-14,210005,岐阜県,,10
2020-05-15,210005,岐阜県,,13
2020-05-16,210005,岐阜県,,7
2020-05-17,210005,岐阜県,,0
2020-05-18,210005,岐阜県,,7
2020-05-19,210005,岐阜県,,7
2020-05-20,210005,岐阜県,,14
2020-05-21,210005,岐阜県,,29
2020-05-22,210005,岐阜県,,26
2020-05-23,210005,岐阜県,,2
2020-05-24,210005,岐阜県,,3
2020-05-25,210005,岐阜県,,34
2020-05-26,210005,岐阜県,,26
2020-05-27,210005,岐阜県,,28
2020-05-28,210005,岐阜県,,26
2020-05-29,210005,岐阜県,,24
2020-05-30,210005,岐阜県,,4
2020-05-31,210005,岐阜県,,4
2020-06-01,210005,岐阜県,,20
2020-06-02,210005,岐阜県,,34
2020-06-03,210005,岐阜県,,26
2020-06-04,210005,岐阜県,,30
2020-06-05,210005,岐阜県,,51
2020-06-06,210005,岐阜県,,7
2020-06-07,210005,岐阜県,,3
2020-06-08,210005,岐阜県,,54
2020-06-09,210005,岐阜県,,54
2020-06-10,210005,岐阜県,,40
2020-06-11,210005,岐阜県,,55
2020-06-12,210005,岐阜県,,37
2020-06-13,210005,岐阜県,,3
2020-06-14,210005,岐阜県,,2
2020-06-15,210005,岐阜県,,52
2020-06-16,210005,岐阜県,,48
2020-06-17,210005,岐阜県,,29
2020-06-18,210005,岐阜県,,43
2020-06-19,210005,岐阜県,,31
2020-06-20,210005,岐阜県,,0
2020-06-21,210005,岐阜県,,2
2020-06-22,210005,岐阜県,,40
2020-06-23,210005,岐阜県,,37
2020-06-24,210005,岐阜県,,28
2020-06-25,210005,岐阜県,,24
2020-06-26,210005,岐阜県,,29
2020-06-27,210005,岐阜県,,1
2020-06-28,210005,岐阜県,,2
2020-06-29,210005,岐阜県,,48
2020-06-30,210005,岐阜県,,30
2020-07-01,210005,岐阜県,,25
2020-07-02,210005,岐阜県,,41
2020-07-03,210005,岐阜県,,35
2020-07-04,210005,岐阜県,,1
2020-07-05,210005,岐阜県,,4
2020-07-06,210005,岐阜県,,53
2020-07-07,210005,岐阜県,,37
2020-07-08,210005,岐阜県,,49
2020-07-09,210005,岐阜県,,65
2020-07-10,210005,岐阜県,,76
2020-07-11,210005,岐阜県,,5
2020-07-12,210005,岐阜県,,4
2020-07-13,210005,岐阜県,,59
2020-07-14,210005,岐阜県,,44
2020-07-15,210005,岐阜県,,63
2020-07-16,210005,岐阜県,,80
2020-07-17,210005,岐阜県,,123
2020-07-18,210005,岐阜県,,14
2020-07-19,210005,岐阜県,,7
2020-07-20,210005,岐阜県,,151
2020-07-21,210005,岐阜県,,129
2020-07-22,210005,岐阜県,,189
2020-07-23,210005,岐阜県,,27
2020-07-24,210005,岐阜県,,38
2020-07-25,210005,岐阜県,,25
2020-07-26,210005,岐阜県,,16
2020-07-27,210005,岐阜県,,256
2020-07-28,210005,岐阜県,,183
2020-07-29,210005,岐阜県,,198
2020-07-30,210005,岐阜県,,153
2020-07-31,210005,岐阜県,,163
2020-08-01,210005,岐阜県,,27
2020-08-02,210005,岐阜県,,19
2020-08-03,210005,岐阜県,,196
2020-08-04,210005,岐阜県,,185
2020-08-05,210005,岐阜県,,155
2020-08-06,210005,岐阜県,,163
2020-08-07,210005,岐阜県,,174
2020-08-08,210005,岐阜県,,32
2020-08-09,210005,岐阜県,,45
2020-08-10,210005,岐阜県,,45
2020-08-11,210005,岐阜県,,143
2020-08-12,210005,岐阜県,,102
2020-08-13,210005,岐阜県,,98
2020-08-14,210005,岐阜県,,104
2020-08-15,210005,岐阜県,,26
2020-08-16,210005,岐阜県,,5
2020-08-17,210005,岐阜県,,124
2020-08-18,210005,岐阜県,,94
2020-08-19,210005,岐阜県,,63
2020-08-20,210005,岐阜県,,75
2020-08-21,210005,岐阜県,,89
2020-08-22,210005,岐阜県,,11
2020-08-23,210005,岐阜県,,10
2020-08-24,210005,岐阜県,,84
2020-08-25,210005,岐阜県,,65
2020-08-26,210005,岐阜県,,65
2020-08-27,210005,岐阜県,,74
2020-08-28,210005,岐阜県,,63
2020-08-29,210005,岐阜県,,6
2020-08-30,210005,岐阜県,,3
2020-08-31,210005,岐阜県,,93
2020-09-01,210005,岐阜県,,66
2020-09-02,210005,岐阜県,,47
2020-09-03,210005,岐阜県,,53
2020-09-04,210005,岐阜県,,44
2020-09-05,210005,岐阜県,,2
2020-09-06,210005,岐阜県,,3
2020-09-07,210005,岐阜県,,71
2020-09-08,210005,岐阜県,,63
2020-09-09,210005,岐阜県,,47
2020-09-10,210005,岐阜県,,48
2020-09-11,210005,岐阜県,,40
2020-09-12,210005,岐阜県,,22
2020-09-13,210005,岐阜県,,6
2020-09-14,210005,岐阜県,,81
2020-09-15,210005,岐阜県,,46
2020-09-16,210005,岐阜県,,50
2020-09-17,210005,岐阜県,,51
2020-09-18,210005,岐阜県,,43
2020-09-19,210005,岐阜県,,9
2020-09-20,210005,岐阜県,,4
2020-09-21,210005,岐阜県,,11
2020-09-22,210005,岐阜県,,34
2020-09-23,210005,岐阜県,,69
2020-09-24,210005,岐阜県,,44
2020-09-25,210005,岐阜県,,56
2020-09-26,210005,岐阜県,,12
2020-09-27,210005,岐阜県,,4
2020-09-28,210005,岐阜県,,75
2020-09-29,210005,岐阜県,,31
2020-09-30,210005,岐阜県,,41
2020-10-01,210005,岐阜県,,40
2020-10-02,210005,岐阜県,,37
2020-10-03,210005,岐阜県,,22
2020-10-04,210005,岐阜県,,7
2020-10-05,210005,岐阜県,,55
2020-10-06,210005,岐阜県,,33
2020-10-07,210005,岐阜県,,32
2020-10-08,210005,岐阜県,,29
2020-10-09,210005,岐阜県,,32
2020-10-10,210005,岐阜県,,1
2020-10-11,210005,岐阜県,,2
2020-10-12,210005,岐阜県,,48
2020-10-13,210005,岐阜県,,39
2020-10-14,210005,岐阜県,,27
2020-10-15,210005,岐阜県,,52
2020-10-16,210005,岐阜県,,57
2020-10-17,210005,岐阜県,,11
2020-10-18,210005,岐阜県,,13
2020-10-19,210005,岐阜県,,72
2020-10-20,210005,岐阜県,,53
2020-10-21,210005,岐阜県,,41
2020-10-22,210005,岐阜県,,52
2020-10-23,210005,岐阜県,,57
2020-10-24,210005,岐阜県,,13
2020-10-25,210005,岐阜県,,5
2020-10-26,210005,岐阜県,,83
2020-10-27,210005,岐阜県,,56
2020-10-28,210005,岐阜県,,50
2020-10-29,210005,岐阜県,,60
2020-10-30,210005,岐阜県,,51
2020-10-31,210005,岐阜県,,7
2020-11-01,210005,岐阜県,,9
2020-11-02,210005,岐阜県,,64
2020-11-03,210005,岐阜県,,13
2020-11-04,210005,岐阜県,,63
2020-11-05,210005,岐阜県,,46
2020-11-06,210005,岐阜県,,36
2020-11-07,210005,岐阜県,,18
2020-11-08,210005,岐阜県,,20
2020-11-09,210005,岐阜県,,47
2020-11-10,210005,岐阜県,,48
2020-11-11,210005,岐阜県,,72
2020-11-12,210005,岐阜県,,53
2020-11-13,210005,岐阜県,,77
2020-11-14,210005,岐阜県,,17
2020-11-15,210005,岐阜県,,11
2020-11-16,210005,岐阜県,,89
2020-11-17,210005,岐阜県,,86
2020-11-18,210005,岐阜県,,70
2020-11-19,210005,岐阜県,,72
2020-11-20,210005,岐阜県,,101
2020-11-21,210005,岐阜県,,13
2020-11-22,210005,岐阜県,,0
2020-11-23,210005,岐阜県,,5
2020-11-24,210005,岐阜県,,81
2020-11-25,210005,岐阜県,,96
2020-11-26,210005,岐阜県,,87
2020-11-27,210005,岐阜県,,85
2020-11-28,210005,岐阜県,,10
2020-11-29,210005,岐阜県,,1
2020-11-30,210005,岐阜県,,101
2020-12-01,210005,岐阜県,,88
2020-12-02,210005,岐阜県,,111
2020-12-03,210005,岐阜県,,103
2020-12-04,210005,岐阜県,,80
2020-12-05,210005,岐阜県,,4
2020-12-06,210005,岐阜県,,6
2020-12-07,210005,岐阜県,,119
2020-12-08,210005,岐阜県,,80
2020-12-09,210005,岐阜県,,90
2020-12-10,210005,岐阜県,,103
2020-12-11,210005,岐阜県,,94
2020-12-12,210005,岐阜県,,8
2020-12-13,210005,岐阜県,,5
2020-12-14,210005,岐阜県,,116
2020-12-15,210005,岐阜県,,89
2020-12-16,210005,岐阜県,,72
2020-12-17,210005,岐阜県,,88
2020-12-18,210005,岐阜県,,84
2020-12-19,210005,岐阜県,,4
2020-12-20,210005,岐阜県,,2
2020-12-21,210005,岐阜県,,97
2020-12-22,210005,岐阜県,,87
2020-12-23,210005,岐阜県,,140
2020-12-24,210005,岐阜県,,133
2020-12-25,210005,岐阜県,,89
2020-12-26,210005,岐阜県,,16
2020-12-27,210005,岐阜県,,4
2020-12-28,210005,岐阜県,,122
2020-12-29,210005,岐阜県,,33
2020-12-30,210005,岐阜県,,43
2020-12-31,210005,岐阜県,,51
2021-01-01,210005,岐阜県,,20
2021-01-02,210005,岐阜県,,46
2021-01-03,210005,岐阜県,,32
2021-01-04,210005,岐阜県,,167
2021-01-05,210005,岐阜県,,174
2021-01-06,210005,岐阜県,,157
2021-01-07,210005,岐阜県,,174
2021-01-08,210005,岐阜県,,169
2021-01-09,210005,岐阜県,,18
2021-01-10,210005,岐阜県,,17
2021-01-11,210005,岐阜県,,9
2021-01-12,210005,岐阜県,,229
2021-01-13,210005,岐阜県,,134
2021-01-14,210005,岐阜県,,127
2021-01-15,210005,岐阜県,,160
2021-01-16,210005,岐阜県,,3
2021-01-17,210005,岐阜県,,7
2021-01-18,210005,岐阜県,,156
2021-01-19,210005,岐阜県,,140
2021-01-20,210005,岐阜県,,124
2021-01-21,210005,岐阜県,,88
2021-01-22,210005,岐阜県,,94
2021-01-23,210005,岐阜県,,9
2021-01-24,210005,岐阜県,,6
2021-01-25,210005,岐阜県,,93
2021-01-26,210005,岐阜県,,85
2021-01-27,210005,岐阜県,,90
2021-01-28,210005,岐阜県,,85
2021-01-29,210005,岐阜県,,72
2021-01-30,210005,岐阜県,,6
2021-01-31,210005,岐阜県,,5
2021-02-01,210005,岐阜県,,84
2021-02-02,210005,岐阜県,,75
2021-02-03,210005,岐阜県,,53
2021-02-04,210005,岐阜県,,70
2021-02-05,210005,岐阜県,,57
2021-02-06,210005,岐阜県,,12
2021-02-07,210005,岐阜県,,0
2021-02-08,210005,岐阜県,,74
2021-02-09,210005,岐阜県,,61
2021-02-10,210005,岐阜県,,66
2021-02-11,210005,岐阜県,,2
2021-02-12,210005,岐阜県,,71
2021-02-13,210005,岐阜県,,7
2021-02-14,210005,岐阜県,,0
2021-02-15,210005,岐阜県,,74
2021-02-16,210005,岐阜県,,61
2021-02-17,210005,岐阜県,,54
2021-02-18,210005,岐阜県,,49
2021-02-19,210005,岐阜県,,44
2021-02-20,210005,岐阜県,,5
2021-02-21,210005,岐阜県,,0
2021-02-22,210005,岐阜県,,49
2021-02-23,210005,岐阜県,,3
2021-02-24,210005,岐阜県,,45
2021-02-25,210005,岐阜県,,43
2021-02-26,210005,岐阜県,,48
