受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020/1/27,210005,岐阜県,,30
2020/1/28,210005,岐阜県,,44
2020/1/29,210005,岐阜県,,82
2020/1/30,210005,岐阜県,,115
2020/1/31,210005,岐阜県,,133
2020/2/1,210005,岐阜県,,25
2020/2/2,210005,岐阜県,,8
2020/2/3,210005,岐阜県,,108
2020/2/4,210005,岐阜県,,73
2020/2/5,210005,岐阜県,,40
2020/2/6,210005,岐阜県,,55
2020/2/7,210005,岐阜県,,50
2020/2/8,210005,岐阜県,,4
2020/2/9,210005,岐阜県,,0
2020/2/10,210005,岐阜県,,45
2020/2/11,210005,岐阜県,,8
2020/2/12,210005,岐阜県,,51
2020/2/13,210005,岐阜県,,31
2020/2/14,210005,岐阜県,,58
2020/2/15,210005,岐阜県,,20
2020/2/16,210005,岐阜県,,24
2020/2/17,210005,岐阜県,,130
2020/2/18,210005,岐阜県,,175
2020/2/19,210005,岐阜県,,207
2020/2/20,210005,岐阜県,,164
2020/2/21,210005,岐阜県,,126
2020/2/22,210005,岐阜県,,73
2020/2/23,210005,岐阜県,,60
2020/2/24,210005,岐阜県,,74
2020/2/25,210005,岐阜県,,357
2020/2/26,210005,岐阜県,,201
2020/2/27,210005,岐阜県,,343
2020/2/28,210005,岐阜県,,382
2020/2/29,210005,岐阜県,,175
2020/3/1,210005,岐阜県,,81
2020/3/2,210005,岐阜県,,329
2020/3/3,210005,岐阜県,,281
2020/3/4,210005,岐阜県,,275
2020/3/5,210005,岐阜県,,211
2020/3/6,210005,岐阜県,,197
2020/3/7,210005,岐阜県,,84
2020/3/8,210005,岐阜県,,81
2020/3/9,210005,岐阜県,,316
2020/3/10,210005,岐阜県,,215
2020/3/11,210005,岐阜県,,159
2020/3/12,210005,岐阜県,,196
2020/3/13,210005,岐阜県,,219
2020/3/14,210005,岐阜県,,104
2020/3/15,210005,岐阜県,,60
2020/3/16,210005,岐阜県,,281
2020/3/17,210005,岐阜県,,168
2020/3/18,210005,岐阜県,,255
2020/3/19,210005,岐阜県,,220
2020/3/20,210005,岐阜県,,71
2020/3/21,210005,岐阜県,,104
2020/3/22,210005,岐阜県,,68
2020/3/23,210005,岐阜県,,277
2020/3/24,210005,岐阜県,,258
2020/3/25,210005,岐阜県,,230
2020/3/26,210005,岐阜県,,238
2020/3/27,210005,岐阜県,,289
2020/3/28,210005,岐阜県,,211
2020/3/29,210005,岐阜県,,149
2020/3/30,210005,岐阜県,,518
2020/3/31,210005,岐阜県,,451
2020/4/1,210005,岐阜県,,519
2020/4/2,210005,岐阜県,,541
2020/4/3,210005,岐阜県,,616
2020/4/4,210005,岐阜県,,468
2020/4/5,210005,岐阜県,,465
2020/4/6,210005,岐阜県,,999
2020/4/7,210005,岐阜県,,733
2020/4/8,210005,岐阜県,,820
2020/4/9,210005,岐阜県,,765
2020/4/10,210005,岐阜県,,904
2020/4/11,210005,岐阜県,,242
2020/4/12,210005,岐阜県,,290
2020/4/13,210005,岐阜県,,801
2020/4/14,210005,岐阜県,,645
2020/4/15,210005,岐阜県,,605
2020/4/16,210005,岐阜県,,604
2020/4/17,210005,岐阜県,,226
2020/4/18,210005,岐阜県,,386
2020/4/19,210005,岐阜県,,217
2020/4/20,210005,岐阜県,,385
2020/4/21,210005,岐阜県,,337
2020/4/22,210005,岐阜県,,331
2020/4/23,210005,岐阜県,,430
2020/4/24,210005,岐阜県,,520
2020/4/25,210005,岐阜県,,235
2020/4/26,210005,岐阜県,,141
2020/4/27,210005,岐阜県,,528
2020/4/28,210005,岐阜県,,349
2020/4/29,210005,岐阜県,,163
2020/4/30,210005,岐阜県,,396
2020/5/1,210005,岐阜県,,333
2020/5/2,210005,岐阜県,,171
2020/5/3,210005,岐阜県,,148
2020/5/4,210005,岐阜県,,241
2020/5/5,210005,岐阜県,,173
2020/5/6,210005,岐阜県,,190
2020/5/7,210005,岐阜県,,362
2020/5/8,210005,岐阜県,,237
2020/5/9,210005,岐阜県,,207
2020/5/10,210005,岐阜県,,146
2020/5/11,210005,岐阜県,,351
2020/5/12,210005,岐阜県,,224
2020/5/13,210005,岐阜県,,202
2020/5/14,210005,岐阜県,,171
2020/5/15,210005,岐阜県,,198
2020/5/16,210005,岐阜県,,102
2020/5/17,210005,岐阜県,,78
2020/5/18,210005,岐阜県,,199
2020/5/19,210005,岐阜県,,149
2020/5/20,210005,岐阜県,,152
2020/5/21,210005,岐阜県,,126
2020/5/22,210005,岐阜県,,133
2020/5/23,210005,岐阜県,,66
2020/5/24,210005,岐阜県,,57
2020/5/25,210005,岐阜県,,139
2020/5/26,210005,岐阜県,,122
2020/5/27,210005,岐阜県,,88
2020/5/28,210005,岐阜県,,106
2020/5/29,210005,岐阜県,,100
2020/5/30,210005,岐阜県,,50
2020/5/31,210005,岐阜県,,57
2020/6/1,210005,岐阜県,,127
2020/6/2,210005,岐阜県,,154
2020/6/3,210005,岐阜県,,127
2020/6/4,210005,岐阜県,,145
2020/6/5,210005,岐阜県,,158
2020/6/6,210005,岐阜県,,79
2020/6/7,210005,岐阜県,,44
2020/6/8,210005,岐阜県,,139
2020/6/9,210005,岐阜県,,230
2020/6/10,210005,岐阜県,,176
2020/6/11,210005,岐阜県,,190
2020/6/12,210005,岐阜県,,150
2020/6/13,210005,岐阜県,,75
2020/6/14,210005,岐阜県,,54
2020/6/15,210005,岐阜県,,162
2020/6/16,210005,岐阜県,,166
2020/6/17,210005,岐阜県,,137
2020/6/18,210005,岐阜県,,121
2020/6/19,210005,岐阜県,,105
2020/6/20,210005,岐阜県,,58
2020/6/21,210005,岐阜県,,59
2020/6/22,210005,岐阜県,,149
2020/6/23,210005,岐阜県,,122
2020/6/24,210005,岐阜県,,115
2020/6/25,210005,岐阜県,,121
2020/6/26,210005,岐阜県,,102
2020/6/27,210005,岐阜県,,60
2020/6/28,210005,岐阜県,,52
2020/6/29,210005,岐阜県,,163
2020/6/30,210005,岐阜県,,118
2020/7/1,210005,岐阜県,,133
2020/7/2,210005,岐阜県,,159
2020/7/3,210005,岐阜県,,147
