受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020/2/1,401005,福岡県,北九州市,39
2020/2/2,401005,福岡県,北九州市,22
2020/2/3,401005,福岡県,北九州市,52
2020/2/4,401005,福岡県,北九州市,39
2020/2/5,401005,福岡県,北九州市,45
2020/2/6,401005,福岡県,北九州市,43
2020/2/7,401005,福岡県,北九州市,28
2020/2/8,401005,福岡県,北九州市,13
2020/2/9,401005,福岡県,北九州市,9
2020/2/10,401005,福岡県,北九州市,16
2020/2/11,401005,福岡県,北九州市,7
2020/2/12,401005,福岡県,北九州市,19
2020/2/13,401005,福岡県,北九州市,21
2020/2/14,401005,福岡県,北九州市,37
2020/2/15,401005,福岡県,北九州市,33
2020/2/16,401005,福岡県,北九州市,21
2020/2/17,401005,福岡県,北九州市,55
2020/2/18,401005,福岡県,北九州市,70
2020/2/19,401005,福岡県,北九州市,48
2020/2/20,401005,福岡県,北九州市,112
2020/2/21,401005,福岡県,北九州市,136
2020/2/22,401005,福岡県,北九州市,97
2020/2/23,401005,福岡県,北九州市,79
2020/2/24,401005,福岡県,北九州市,112
2020/2/25,401005,福岡県,北九州市,195
2020/2/26,401005,福岡県,北九州市,168
2020/2/27,401005,福岡県,北九州市,186
2020/2/28,401005,福岡県,北九州市,176
2020/2/29,401005,福岡県,北九州市,94
2020/3/1,401005,福岡県,北九州市,243
2020/3/2,401005,福岡県,北九州市,377
2020/3/3,401005,福岡県,北九州市,273
2020/3/4,401005,福岡県,北九州市,264
2020/3/5,401005,福岡県,北九州市,188
2020/3/6,401005,福岡県,北九州市,191
2020/3/7,401005,福岡県,北九州市,119
2020/3/8,401005,福岡県,北九州市,104
2020/3/9,401005,福岡県,北九州市,204
2020/3/10,401005,福岡県,北九州市,163
2020/3/11,401005,福岡県,北九州市,167
2020/3/12,401005,福岡県,北九州市,157
2020/3/13,401005,福岡県,北九州市,159
2020/3/14,401005,福岡県,北九州市,89
2020/3/15,401005,福岡県,北九州市,91
2020/3/16,401005,福岡県,北九州市,166
2020/3/17,401005,福岡県,北九州市,127
2020/3/18,401005,福岡県,北九州市,132
2020/3/19,401005,福岡県,北九州市,131
2020/3/20,401005,福岡県,北九州市,63
2020/3/21,401005,福岡県,北九州市,105
2020/3/22,401005,福岡県,北九州市,77
2020/3/23,401005,福岡県,北九州市,184
2020/3/24,401005,福岡県,北九州市,245
2020/3/25,401005,福岡県,北九州市,233
2020/3/26,401005,福岡県,北九州市,238
2020/3/27,401005,福岡県,北九州市,252
2020/3/28,401005,福岡県,北九州市,205
2020/3/29,401005,福岡県,北九州市,212
2020/3/30,401005,福岡県,北九州市,389
2020/3/31,401005,福岡県,北九州市,468
2020/4/1,401005,福岡県,北九州市,586
2020/4/2,401005,福岡県,北九州市,506
2020/4/3,401005,福岡県,北九州市,512
2020/4/4,401005,福岡県,北九州市,373
2020/4/5,401005,福岡県,北九州市,382
2020/4/6,401005,福岡県,北九州市,485
2020/4/7,401005,福岡県,北九州市,492
2020/4/8,401005,福岡県,北九州市,448
2020/4/9,401005,福岡県,北九州市,459
2020/4/10,401005,福岡県,北九州市,577
2020/4/11,401005,福岡県,北九州市,346
2020/4/12,401005,福岡県,北九州市,507
2020/4/13,401005,福岡県,北九州市,581
2020/4/14,401005,福岡県,北九州市,545
2020/4/15,401005,福岡県,北九州市,508
2020/4/16,401005,福岡県,北九州市,497
2020/4/17,401005,福岡県,北九州市,564
2020/4/18,401005,福岡県,北九州市,292
2020/4/19,401005,福岡県,北九州市,288
2020/4/20,401005,福岡県,北九州市,473
2020/4/21,401005,福岡県,北九州市,430
2020/4/22,401005,福岡県,北九州市,306
2020/4/23,401005,福岡県,北九州市,439
2020/4/24,401005,福岡県,北九州市,447
2020/4/25,401005,福岡県,北九州市,289
2020/4/26,401005,福岡県,北九州市,251
2020/4/27,401005,福岡県,北九州市,351
2020/4/28,401005,福岡県,北九州市,348
2020/4/29,401005,福岡県,北九州市,219
2020/4/30,401005,福岡県,北九州市,320
2020/5/1,401005,福岡県,北九州市,263
2020/5/2,401005,福岡県,北九州市,197
2020/5/3,401005,福岡県,北九州市,173
2020/5/4,401005,福岡県,北九州市,224
2020/5/5,401005,福岡県,北九州市,193
2020/5/6,401005,福岡県,北九州市,172
2020/5/7,401005,福岡県,北九州市,318
2020/5/8,401005,福岡県,北九州市,244
2020/5/9,401005,福岡県,北九州市,191
2020/5/10,401005,福岡県,北九州市,139
2020/5/11,401005,福岡県,北九州市,255
2020/5/12,401005,福岡県,北九州市,163
2020/5/13,401005,福岡県,北九州市,152
2020/5/14,401005,福岡県,北九州市,137
2020/5/15,401005,福岡県,北九州市,165
2020/5/16,401005,福岡県,北九州市,99
2020/5/17,401005,福岡県,北九州市,112
2020/5/18,401005,福岡県,北九州市,140
2020/5/19,401005,福岡県,北九州市,105
2020/5/20,401005,福岡県,北九州市,94
2020/5/21,401005,福岡県,北九州市,80
2020/5/22,401005,福岡県,北九州市,86
2020/5/23,401005,福岡県,北九州市,76
2020/5/24,401005,福岡県,北九州市,124
2020/5/25,401005,福岡県,北九州市,233
2020/5/26,401005,福岡県,北九州市,217
2020/5/27,401005,福岡県,北九州市,241
2020/5/28,401005,福岡県,北九州市,319
2020/5/29,401005,福岡県,北九州市,337
2020/5/30,401005,福岡県,北九州市,276
2020/5/31,401005,福岡県,北九州市,298
2020/6/1,401005,福岡県,北九州市,377
2020/6/2,401005,福岡県,北九州市,466
2020/6/3,401005,福岡県,北九州市,550
2020/6/4,401005,福岡県,北九州市,504
2020/6/5,401005,福岡県,北九州市,444
2020/6/6,401005,福岡県,北九州市,299
2020/6/7,401005,福岡県,北九州市,269
2020/6/8,401005,福岡県,北九州市,482
2020/6/9,401005,福岡県,北九州市,376
2020/6/10,401005,福岡県,北九州市,307
2020/6/11,401005,福岡県,北九州市,287
2020/6/12,401005,福岡県,北九州市,269
2020/6/13,401005,福岡県,北九州市,164
2020/6/14,401005,福岡県,北九州市,205
2020/6/15,401005,福岡県,北九州市,315
2020/6/16,401005,福岡県,北九州市,228
2020/6/17,401005,福岡県,北九州市,188
2020/6/18,401005,福岡県,北九州市,185
2020/6/19,401005,福岡県,北九州市,171
2020/6/20,401005,福岡県,北九州市,136
2020/6/21,401005,福岡県,北九州市,109
2020/6/22,401005,福岡県,北九州市,127
2020/6/23,401005,福岡県,北九州市,105
2020/6/24,401005,福岡県,北九州市,119
2020/6/25,401005,福岡県,北九州市,187
2020/6/26,401005,福岡県,北九州市,162
2020/6/27,401005,福岡県,北九州市,148
2020/6/28,401005,福岡県,北九州市,148
2020/6/29,401005,福岡県,北九州市,200
2020/6/30,401005,福岡県,北九州市,201
2020/7/1,401005,福岡県,北九州市,154
2020/7/2,401005,福岡県,北九州市,141
2020/7/3,401005,福岡県,北九州市,151
2020/7/4,401005,福岡県,北九州市,149
2020/7/5,401005,福岡県,北九州市,175
2020/7/6,401005,福岡県,北九州市,160
2020/7/7,401005,福岡県,北九州市,123
2020/7/8,401005,福岡県,北九州市,142
2020/7/9,401005,福岡県,北九州市,198
2020/7/10,401005,福岡県,北九州市,193
2020/7/11,401005,福岡県,北九州市,155
2020/7/12,401005,福岡県,北九州市,111
2020/7/13,401005,福岡県,北九州市,254
2020/7/14,401005,福岡県,北九州市,210
2020/7/15,401005,福岡県,北九州市,184
2020/7/16,401005,福岡県,北九州市,216
2020/7/17,401005,福岡県,北九州市,210
2020/7/18,401005,福岡県,北九州市,130
2020/7/19,401005,福岡県,北九州市,173
2020/7/20,401005,福岡県,北九州市,300
2020/7/21,401005,福岡県,北九州市,283
2020/7/22,401005,福岡県,北九州市,323
2020/7/23,401005,福岡県,北九州市,254
2020/7/24,401005,福岡県,北九州市,243
2020/7/25,401005,福岡県,北九州市,336
2020/7/26,401005,福岡県,北九州市,307
2020/7/27,401005,福岡県,北九州市,445
2020/7/28,401005,福岡県,北九州市,367
2020/7/29,401005,福岡県,北九州市,350
2020/7/30,401005,福岡県,北九州市,347
2020/7/31,401005,福岡県,北九州市,337
2020/8/1,401005,福岡県,北九州市,293
2020/8/2,401005,福岡県,北九州市,225
2020/8/3,401005,福岡県,北九州市,474
2020/8/4,401005,福岡県,北九州市,371
2020/8/5,401005,福岡県,北九州市,226
2020/8/6,401005,福岡県,北九州市,316
2020/8/7,401005,福岡県,北九州市,349
2020/8/8,401005,福岡県,北九州市,270
2020/8/9,401005,福岡県,北九州市,301
2020/8/10,401005,福岡県,北九州市,273
2020/8/11,401005,福岡県,北九州市,328
2020/8/12,401005,福岡県,北九州市,280
2020/8/13,401005,福岡県,北九州市,290
2020/8/14,401005,福岡県,北九州市,308
2020/8/15,401005,福岡県,北九州市,272
2020/8/16,401005,福岡県,北九州市,255
2020/8/17,401005,福岡県,北九州市,340
2020/8/18,401005,福岡県,北九州市,232
2020/8/19,401005,福岡県,北九州市,256
2020/8/20,401005,福岡県,北九州市,241
2020/8/21,401005,福岡県,北九州市,215
2020/8/22,401005,福岡県,北九州市,196
2020/8/23,401005,福岡県,北九州市,175
2020/8/24,401005,福岡県,北九州市,305
2020/8/25,401005,福岡県,北九州市,210
2020/8/26,401005,福岡県,北九州市,231
2020/8/27,401005,福岡県,北九州市,246
2020/8/28,401005,福岡県,北九州市,188
2020/8/29,401005,福岡県,北九州市,157
2020/8/30,401005,福岡県,北九州市,149
2020/8/31,401005,福岡県,北九州市,210
2020/9/1,401005,福岡県,北九州市,153
2020/9/2,401005,福岡県,北九州市,167
2020/9/3,401005,福岡県,北九州市,151
2020/9/4,401005,福岡県,北九州市,114
2020/9/5,401005,福岡県,北九州市,91
2020/9/6,401005,福岡県,北九州市,75
2020/9/7,401005,福岡県,北九州市,127
2020/9/8,401005,福岡県,北九州市,198
2020/9/9,401005,福岡県,北九州市,161
2020/9/10,401005,福岡県,北九州市,136
2020/9/11,401005,福岡県,北九州市,202
2020/9/12,401005,福岡県,北九州市,148
2020/9/13,401005,福岡県,北九州市,98
2020/9/14,401005,福岡県,北九州市,167
2020/9/15,401005,福岡県,北九州市,113
2020/9/16,401005,福岡県,北九州市,134
2020/9/17,401005,福岡県,北九州市,116
2020/9/18,401005,福岡県,北九州市,111
2020/9/19,401005,福岡県,北九州市,98
2020/9/20,401005,福岡県,北九州市,97
2020/9/21,401005,福岡県,北九州市,137
2020/9/22,401005,福岡県,北九州市,134
2020/9/23,401005,福岡県,北九州市,169
2020/9/24,401005,福岡県,北九州市,135
2020/9/25,401005,福岡県,北九州市,113
2020/9/26,401005,福岡県,北九州市,86
2020/9/27,401005,福岡県,北九州市,86
2020/9/28,401005,福岡県,北九州市,139
2020/9/29,401005,福岡県,北九州市,107
2020/9/30,401005,福岡県,北九州市,123
2020/10/1,401005,福岡県,北九州市,112
2020/10/2,401005,福岡県,北九州市,99
2020/10/3,401005,福岡県,北九州市,83
2020/10/4,401005,福岡県,北九州市,88
2020/10/5,401005,福岡県,北九州市,118
2020/10/6,401005,福岡県,北九州市,93
2020/10/7,401005,福岡県,北九州市,114
2020/10/8,401005,福岡県,北九州市,103
2020/10/9,401005,福岡県,北九州市,91
2020/10/10,401005,福岡県,北九州市,76
2020/10/11,401005,福岡県,北九州市,98
2020/10/12,401005,福岡県,北九州市,145
2020/10/13,401005,福岡県,北九州市,107
2020/10/14,401005,福岡県,北九州市,105
2020/10/15,401005,福岡県,北九州市,123
2020/10/16,401005,福岡県,北九州市,103
2020/10/17,401005,福岡県,北九州市,81
2020/10/18,401005,福岡県,北九州市,84
2020/10/19,401005,福岡県,北九州市,134
2020/10/20,401005,福岡県,北九州市,118
2020/10/21,401005,福岡県,北九州市,96
2020/10/22,401005,福岡県,北九州市,92
2020/10/23,401005,福岡県,北九州市,85
2020/10/24,401005,福岡県,北九州市,75
2020/10/25,401005,福岡県,北九州市,78
2020/10/26,401005,福岡県,北九州市,104
2020/10/27,401005,福岡県,北九州市,94
2020/10/28,401005,福岡県,北九州市,132
2020/10/29,401005,福岡県,北九州市,121
2020/10/30,401005,福岡県,北九州市,83
2020/10/31,401005,福岡県,北九州市,62
2020/11/1,401005,福岡県,北九州市,52
2020/11/2,401005,福岡県,北九州市,105
2020/11/3,401005,福岡県,北九州市,55
2020/11/4,401005,福岡県,北九州市,95
2020/11/5,401005,福岡県,北九州市,72
2020/11/6,401005,福岡県,北九州市,101
2020/11/7,401005,福岡県,北九州市,80
2020/11/8,401005,福岡県,北九州市,63
2020/11/9,401005,福岡県,北九州市,142
2020/11/10,401005,福岡県,北九州市,110
2020/11/11,401005,福岡県,北九州市,102
