完了_年月日,全国地方公共団体コード,都道府県名,市区町村名,陰性確認_件数
2020/1/30,401005,福岡県,北九州市,2
2020/2/13,401005,福岡県,北九州市,1
2020/2/14,401005,福岡県,北九州市,1
2020/2/15,401005,福岡県,北九州市,0
2020/2/16,401005,福岡県,北九州市,1
2020/2/17,401005,福岡県,北九州市,0
2020/2/18,401005,福岡県,北九州市,2
2020/2/19,401005,福岡県,北九州市,1
2020/2/20,401005,福岡県,北九州市,0
2020/2/21,401005,福岡県,北九州市,0
2020/2/22,401005,福岡県,北九州市,1
2020/2/23,401005,福岡県,北九州市,1
2020/2/24,401005,福岡県,北九州市,1
2020/2/25,401005,福岡県,北九州市,1
2020/2/26,401005,福岡県,北九州市,2
2020/2/27,401005,福岡県,北九州市,2
2020/2/28,401005,福岡県,北九州市,4
2020/2/29,401005,福岡県,北九州市,0
2020/3/1,401005,福岡県,北九州市,1
2020/3/2,401005,福岡県,北九州市,27
2020/3/3,401005,福岡県,北九州市,5
2020/3/4,401005,福岡県,北九州市,19
2020/3/5,401005,福岡県,北九州市,10
2020/3/6,401005,福岡県,北九州市,32
2020/3/7,401005,福岡県,北九州市,113
2020/3/8,401005,福岡県,北九州市,22
2020/3/9,401005,福岡県,北九州市,3
2020/3/10,401005,福岡県,北九州市,6
2020/3/11,401005,福岡県,北九州市,2
2020/3/12,401005,福岡県,北九州市,4
2020/3/13,401005,福岡県,北九州市,1
2020/3/14,401005,福岡県,北九州市,4
2020/3/15,401005,福岡県,北九州市,4
2020/3/16,401005,福岡県,北九州市,4
2020/3/17,401005,福岡県,北九州市,11
2020/3/18,401005,福岡県,北九州市,6
2020/3/19,401005,福岡県,北九州市,7
2020/3/20,401005,福岡県,北九州市,9
2020/3/21,401005,福岡県,北九州市,2
2020/3/22,401005,福岡県,北九州市,5
2020/3/23,401005,福岡県,北九州市,7
2020/3/24,401005,福岡県,北九州市,22
2020/3/25,401005,福岡県,北九州市,10
2020/3/26,401005,福岡県,北九州市,12
2020/3/27,401005,福岡県,北九州市,8
2020/3/28,401005,福岡県,北九州市,18
2020/3/29,401005,福岡県,北九州市,15
2020/3/30,401005,福岡県,北九州市,7
2020/3/31,401005,福岡県,北九州市,38
2020/4/1,401005,福岡県,北九州市,37
2020/4/2,401005,福岡県,北九州市,72
2020/4/3,401005,福岡県,北九州市,45
2020/4/4,401005,福岡県,北九州市,121
2020/4/5,401005,福岡県,北九州市,170
2020/4/6,401005,福岡県,北九州市,140
2020/4/7,401005,福岡県,北九州市,84
2020/4/8,401005,福岡県,北九州市,269
2020/4/9,401005,福岡県,北九州市,124
2020/4/10,401005,福岡県,北九州市,140
2020/4/11,401005,福岡県,北九州市,62
2020/4/12,401005,福岡県,北九州市,19
2020/4/13,401005,福岡県,北九州市,18
2020/4/14,401005,福岡県,北九州市,43
2020/4/15,401005,福岡県,北九州市,103
2020/4/16,401005,福岡県,北九州市,36
2020/4/17,401005,福岡県,北九州市,40
2020/4/18,401005,福岡県,北九州市,71
2020/4/19,401005,福岡県,北九州市,18
2020/4/20,401005,福岡県,北九州市,5
2020/4/21,401005,福岡県,北九州市,42
2020/4/22,401005,福岡県,北九州市,53
2020/4/23,401005,福岡県,北九州市,50
2020/4/24,401005,福岡県,北九州市,42
2020/4/25,401005,福岡県,北九州市,46
2020/4/26,401005,福岡県,北九州市,21
2020/4/27,401005,福岡県,北九州市,10
2020/4/28,401005,福岡県,北九州市,72
2020/4/29,401005,福岡県,北九州市,48
2020/4/30,401005,福岡県,北九州市,25
2020/5/1,401005,福岡県,北九州市,50
2020/5/2,401005,福岡県,北九州市,29
2020/5/3,401005,福岡県,北九州市,30
2020/5/4,401005,福岡県,北九州市,18
2020/5/5,401005,福岡県,北九州市,18
2020/5/6,401005,福岡県,北九州市,13
2020/5/7,401005,福岡県,北九州市,11
2020/5/8,401005,福岡県,北九州市,64
2020/5/9,401005,福岡県,北九州市,49
2020/5/10,401005,福岡県,北九州市,23
2020/5/11,401005,福岡県,北九州市,19
2020/5/12,401005,福岡県,北九州市,52
2020/5/13,401005,福岡県,北九州市,70
2020/5/14,401005,福岡県,北九州市,25
2020/5/15,401005,福岡県,北九州市,26
2020/5/16,401005,福岡県,北九州市,40
2020/5/17,401005,福岡県,北九州市,17
2020/5/18,401005,福岡県,北九州市,9
2020/5/19,401005,福岡県,北九州市,33
2020/5/20,401005,福岡県,北九州市,30
2020/5/21,401005,福岡県,北九州市,32
2020/5/22,401005,福岡県,北九州市,15
2020/5/23,401005,福岡県,北九州市,25
2020/5/24,401005,福岡県,北九州市,3
2020/5/25,401005,福岡県,北九州市,27
2020/5/26,401005,福岡県,北九州市,94
2020/5/27,401005,福岡県,北九州市,58
2020/5/28,401005,福岡県,北九州市,98
2020/5/29,401005,福岡県,北九州市,134
2020/5/30,401005,福岡県,北九州市,206
2020/5/31,401005,福岡県,北九州市,143
2020/6/1,401005,福岡県,北九州市,117
2020/6/2,401005,福岡県,北九州市,268
2020/6/3,401005,福岡県,北九州市,417
2020/6/4,401005,福岡県,北九州市,279
2020/6/5,401005,福岡県,北九州市,220
2020/6/6,401005,福岡県,北九州市,429
2020/6/7,401005,福岡県,北九州市,110
2020/6/8,401005,福岡県,北九州市,185
2020/6/9,401005,福岡県,北九州市,189
2020/6/10,401005,福岡県,北九州市,257
2020/6/11,401005,福岡県,北九州市,154
2020/6/12,401005,福岡県,北九州市,274
2020/6/13,401005,福岡県,北九州市,97
2020/6/14,401005,福岡県,北九州市,97
2020/6/15,401005,福岡県,北九州市,179
2020/6/16,401005,福岡県,北九州市,242
2020/6/17,401005,福岡県,北九州市,178
2020/6/18,401005,福岡県,北九州市,208
2020/6/19,401005,福岡県,北九州市,215
2020/6/20,401005,福岡県,北九州市,79
2020/6/21,401005,福岡県,北九州市,102
2020/6/22,401005,福岡県,北九州市,150
2020/6/23,401005,福岡県,北九州市,119
2020/6/24,401005,福岡県,北九州市,241
2020/6/25,401005,福岡県,北九州市,220
2020/6/26,401005,福岡県,北九州市,229
2020/6/27,401005,福岡県,北九州市,84
2020/6/28,401005,福岡県,北九州市,110
2020/6/29,401005,福岡県,北九州市,160
2020/6/30,401005,福岡県,北九州市,200
2020/7/1,401005,福岡県,北九州市,226
2020/7/2,401005,福岡県,北九州市,130
2020/7/3,401005,福岡県,北九州市,149
2020/7/4,401005,福岡県,北九州市,104
2020/7/5,401005,福岡県,北九州市,116
2020/7/6,401005,福岡県,北九州市,221
2020/7/7,401005,福岡県,北九州市,226
2020/7/8,401005,福岡県,北九州市,239
2020/7/9,401005,福岡県,北九州市,236
2020/7/10,401005,福岡県,北九州市,258
2020/7/11,401005,福岡県,北九州市,151
2020/7/12,401005,福岡県,北九州市,146
2020/7/13,401005,福岡県,北九州市,156
2020/7/14,401005,福岡県,北九州市,305
2020/7/15,401005,福岡県,北九州市,296
2020/7/16,401005,福岡県,北九州市,207
2020/7/17,401005,福岡県,北九州市,281
2020/7/18,401005,福岡県,北九州市,120
2020/7/19,401005,福岡県,北九州市,98
2020/7/20,401005,福岡県,北九州市,122
2020/7/21,401005,福岡県,北九州市,325
2020/7/22,401005,福岡県,北九州市,197
2020/7/23,401005,福岡県,北九州市,254
2020/7/24,401005,福岡県,北九州市,109
2020/7/25,401005,福岡県,北九州市,183
2020/7/26,401005,福岡県,北九州市,85
2020/7/27,401005,福岡県,北九州市,172
2020/7/28,401005,福岡県,北九州市,284
2020/7/29,401005,福岡県,北九州市,278
2020/7/30,401005,福岡県,北九州市,457
2020/7/31,401005,福岡県,北九州市,466
2020/8/1,401005,福岡県,北九州市,327
2020/8/2,401005,福岡県,北九州市,301
2020/8/3,401005,福岡県,北九州市,191
2020/8/4,401005,福岡県,北九州市,234
2020/8/5,401005,福岡県,北九州市,501
2020/8/6,401005,福岡県,北九州市,511
2020/8/7,401005,福岡県,北九州市,261
2020/8/8,401005,福岡県,北九州市,402
2020/8/9,401005,福岡県,北九州市,216
2020/8/10,401005,福岡県,北九州市,149
2020/8/11,401005,福岡県,北九州市,177
2020/8/12,401005,福岡県,北九州市,507
2020/8/13,401005,福岡県,北九州市,475
2020/8/14,401005,福岡県,北九州市,389
2020/8/15,401005,福岡県,北九州市,206
2020/8/16,401005,福岡県,北九州市,120
2020/8/17,401005,福岡県,北九州市,191
2020/8/18,401005,福岡県,北九州市,369
2020/8/19,401005,福岡県,北九州市,341
2020/8/20,401005,福岡県,北九州市,308
2020/8/21,401005,福岡県,北九州市,352
2020/8/22,401005,福岡県,北九州市,225
2020/8/23,401005,福岡県,北九州市,154
2020/8/24,401005,福岡県,北九州市,121
2020/8/25,401005,福岡県,北九州市,419
2020/8/26,401005,福岡県,北九州市,295
2020/8/27,401005,福岡県,北九州市,270
2020/8/28,401005,福岡県,北九州市,321
2020/8/29,401005,福岡県,北九州市,193
2020/8/30,401005,福岡県,北九州市,97
2020/8/31,401005,福岡県,北九州市,195
2020/9/1,401005,福岡県,北九州市,326
2020/9/2,401005,福岡県,北九州市,241
2020/9/3,401005,福岡県,北九州市,320
2020/9/4,401005,福岡県,北九州市,330
2020/9/5,401005,福岡県,北九州市,195
2020/9/6,401005,福岡県,北九州市,97
2020/9/7,401005,福岡県,北九州市,121
2020/9/8,401005,福岡県,北九州市,256
2020/9/9,401005,福岡県,北九州市,326
2020/9/10,401005,福岡県,北九州市,289
2020/9/11,401005,福岡県,北九州市,277
2020/9/12,401005,福岡県,北九州市,151
2020/9/13,401005,福岡県,北九州市,87
2020/9/14,401005,福岡県,北九州市,163
2020/9/15,401005,福岡県,北九州市,331
2020/9/16,401005,福岡県,北九州市,263
2020/9/17,401005,福岡県,北九州市,226
2020/9/18,401005,福岡県,北九州市,251
2020/9/19,401005,福岡県,北九州市,106
2020/9/20,401005,福岡県,北九州市,77
2020/9/21,401005,福岡県,北九州市,37
2020/9/22,401005,福岡県,北九州市,45
2020/9/23,401005,福岡県,北九州市,219
2020/9/24,401005,福岡県,北九州市,495
2020/9/25,401005,福岡県,北九州市,261
2020/9/26,401005,福岡県,北九州市,94
2020/9/27,401005,福岡県,北九州市,188
2020/9/28,401005,福岡県,北九州市,179
2020/9/29,401005,福岡県,北九州市,368
2020/9/30,401005,福岡県,北九州市,220
2020/10/1,401005,福岡県,北九州市,230
2020/10/2,401005,福岡県,北九州市,270
2020/10/3,401005,福岡県,北九州市,139
2020/10/4,401005,福岡県,北九州市,216
2020/10/5,401005,福岡県,北九州市,137
2020/10/6,401005,福岡県,北九州市,345
2020/10/7,401005,福岡県,北九州市,271
2020/10/8,401005,福岡県,北九州市,260
2020/10/9,401005,福岡県,北九州市,265
2020/10/10,401005,福岡県,北九州市,134
2020/10/11,401005,福岡県,北九州市,64
2020/10/12,401005,福岡県,北九州市,103
2020/10/13,401005,福岡県,北九州市,441
2020/10/14,401005,福岡県,北九州市,334
2020/10/15,401005,福岡県,北九州市,238
2020/10/16,401005,福岡県,北九州市,255
2020/10/17,401005,福岡県,北九州市,225
2020/10/18,401005,福岡県,北九州市,74
2020/10/19,401005,福岡県,北九州市,142
2020/10/20,401005,福岡県,北九州市,371
2020/10/21,401005,福岡県,北九州市,353
2020/10/22,401005,福岡県,北九州市,247
2020/10/23,401005,福岡県,北九州市,315
2020/10/24,401005,福岡県,北九州市,182
2020/10/25,401005,福岡県,北九州市,79
2020/10/26,401005,福岡県,北九州市,129
2020/10/27,401005,福岡県,北九州市,373
2020/10/28,401005,福岡県,北九州市,290
2020/10/29,401005,福岡県,北九州市,302
2020/10/30,401005,福岡県,北九州市,261
2020/10/31,401005,福岡県,北九州市,180
2020/11/1,401005,福岡県,北九州市,51
2020/11/2,401005,福岡県,北九州市,193
2020/11/3,401005,福岡県,北九州市,302
2020/11/4,401005,福岡県,北九州市,188
2020/11/5,401005,福岡県,北九州市,378
