日, 曜日 ,山麓バイパス_通行台数
2020/2/1,土,19689
2020/2/2,日,14667
2020/2/3,月,20923
2020/2/4,火,20973
2020/2/5,水,20928
2020/2/6,木,20955
2020/2/7,金,21535
2020/2/8,土,19465
2020/2/9,日,14442
2020/2/10,月,21070
2020/2/11,祝,15952
2020/2/12,水,20595
2020/2/13,木,21311
2020/2/14,金,21831
2020/2/15,土,19358
2020/2/16,日,13374
2020/2/17,月,20735
2020/2/18,火,20207
2020/2/19,水,20598
2020/2/20,木,21578
2020/2/21,金,22573
2020/2/22,土,18672
2020/2/23,日,16539
2020/2/24,祝,15912
2020/2/25,火,21188
2020/2/26,水,21419
2020/2/27,木,21838
2020/2/28,金,21889
2020/2/29,土,17604
2020/3/1,日,12784
2020/3/2,月,19829
2020/3/3,火,20225
2020/3/4,水,19249
2020/3/5,木,20237
2020/3/6,金,21058
2020/3/7,土,17430
2020/3/8,日,11556
2020/3/9,月,20206
2020/3/10,火,19124
2020/3/11,水,20144
2020/3/12,木,20404
2020/3/13,金,21417
2020/3/14,土,16604
2020/3/15,日,13057
2020/3/16,月,19785
2020/3/17,火,20626
2020/3/18,水,20454
2020/3/19,木,22539
2020/3/20,祝,17488
2020/3/21,土,18308
2020/3/22,日,13773
2020/3/23,月,20898
2020/3/24,火,20878
2020/3/25,水,21112
2020/3/26,木,21405
2020/3/27,金,20962
2020/3/28,土,16662
2020/3/29,日,12197
2020/3/30,月,19990
2020/3/31,火,20113
2020/4/1,水,17845
2020/4/2,木,18966
2020/4/3,金,19737
2020/4/4,土,15670
2020/4/5,日,10815
2020/4/6,月,18850
2020/4/7,火,18763
2020/4/8,水,17628
2020/4/9,木,17170
2020/4/10,金,18186
2020/4/11,土,13256
2020/4/12,日,7200
2020/4/13,月,16060
2020/4/14,火,16513
2020/4/15,水,16798
2020/4/16,木,16777
2020/4/17,金,16918
2020/4/18,土,11350
2020/4/19,日,7848
2020/4/20,月,16351
2020/4/21,火,16218
2020/4/22,水,16253
2020/4/23,木,16421
2020/4/24,金,17157
2020/4/25,土,12525
2020/4/26,日,7457
2020/4/27,月,17334
2020/4/28,火,16788
2020/4/29,水,9451
2020/4/30,木,16002
2020/5/1,金,15424
2020/5/2,土,10836
2020/5/3,祝,8164
2020/5/4,祝,8509
2020/5/5,祝,9025
2020/5/6,祝,8574
2020/5/7,木,"16,813"
2020/5/8,金,"17,321"
2020/5/9,土,"12,564"
2020/5/10,日,"7,821"
2020/5/11,月,"17,115"
2020/5/12,火,"17,094"
2020/5/13,水,"16,698"
2020/5/14,木,"16,966"
2020/5/15,金,17750
2020/5/16,土,12121
2020/5/17,日,9095
2020/5/18,月,17010
2020/5/19,火,16115
2020/5/20,水,17074
2020/5/21,木,17736
2020/5/22,金,18234
2020/5/23,土,14915
2020/5/24,日,10477
2020/5/25,月,18429
2020/5/26,火,17773
2020/5/27,水,18173
2020/5/28,木,19196
2020/5/29,金,19560
2020/5/30,土,16238
2020/5/31,日,10885
2020/6/1,月,18681
2020/6/2,火,18329
2020/6/3,水,18155
2020/6/4,木,18770
2020/6/5,金,20151
2020/6/6,土,16439
2020/6/7,日,12604
2020/6/8,月,19329
2020/6/9,火,19484
2020/6/10,水,18397
2020/6/11,木,18511
2020/6/12,金,20665
2020/6/13,土,15620
2020/6/14,日,11362
2020/6/15,月,19389
2020/6/16,火,19872
2020/6/17,水,19616
2020/6/18,木,19823
2020/6/19,金,20880
2020/6/20,土,18470
2020/6/21,日,14516
2020/6/22,月,19236
2020/6/23,火,20339
2020/6/24,水,20056
2020/6/25,木,19780
2020/6/26,金,20838
2020/6/27,土,19171
2020/6/28,日,13731
2020/6/29,月,19840
2020/6/30,火,18555
2020/7/1,水,19587
2020/7/2,木,19752
2020/7/3,金,20572
2020/7/4,土,15922
2020/7/5,日,13136
2020/7/6,月,18735
2020/7/7,火,19462
2020/7/8,水,19198
2020/7/9,木,19467
2020/7/10,金,20945
2020/7/11,土,16183
2020/7/12,日,13744
2020/7/13,月,19345
2020/7/14,火,18774
2020/7/15,水,20028
2020/7/16,木,20491
2020/7/17,金,21648
2020/7/18,土,18486
2020/7/19,日,13745
2020/7/20,月,20828
2020/7/21,火,21429
2020/7/22,水,22550
2020/7/23,木,16789
2020/7/24,金,15096
2020/7/25,土,14716
2020/7/26,日,12836
2020/7/27,月,20184
2020/7/28,火,20584
2020/7/29,水,20369
2020/7/30,木,20751
2020/7/31,金,21444
2020/8/1,土,17803
2020/8/2,日,13270
2020/8/3,月,20249
2020/8/4,火,20497
2020/8/5,水,21205
2020/8/6,木,21905
2020/8/7,金,22880
2020/8/8,土,19217
2020/8/9,日,15402
2020/8/10,月,15656
2020/8/11,火,20457
2020/8/12,水,19549
2020/8/13,木,17707
2020/8/14,金,17107
2020/8/15,土,15578
2020/8/16,日,12974
2020/8/17,月,19601
2020/8/18,火,20575
2020/8/19,水,20076
2020/8/20,木,20714
2020/8/21,金,22110
2020/8/22,土,18401
2020/8/23,日,13484
2020/8/24,月,20510
2020/8/25,火,20822
2020/8/26,水,20407
2020/8/27,木,20884
2020/8/28,金,21290
2020/8/29,土,18107
2020/8/30,日,13577
2020/8/31,月,20242
2020/9/1,火,20087
2020/9/2,水,19730
2020/9/3,木,19537
2020/9/4,金,20767
2020/9/5,土,18271
2020/9/6,日,12707
2020/9/7,月,18845
2020/9/8,火,20789
2020/9/9,水,19442
2020/9/10,木,20823
2020/9/11,金,21309
2020/9/12,土,18035
2020/9/13,日,13628
2020/9/14,月,20701
2020/9/15,火,21309
2020/9/16,水,21204
2020/9/17,木,21171
2020/9/18,金,21930
2020/9/19,土,21459
2020/9/20,日,19200
2020/9/21,月,20494
2020/9/22,火,16525
2020/9/23,水,21173
2020/9/24,木,21441
2020/9/25,金,21997
2020/9/26,土,18867
2020/9/27,日,14452
2020/9/28,月,20962
2020/9/29,火,20746
2020/9/30,水,20521
2020/10/1,木,20641
2020/10/2,金,21528
2020/10/3,土,18864
2020/10/4,日,14353
2020/10/5,月,19900
2020/10/6,火,20573
2020/10/7,水,20356
2020/10/8,木,20164
2020/10/9,金,20342
2020/10/10,土,15852
2020/10/11,日,14133
2020/10/12,月,21107
2020/10/13,火,20843
2020/10/14,水,20396
2020/10/15,木,20975
2020/10/16,金,21938
2020/10/17,土,17968
2020/10/18,日,15775
2020/10/19,月,20330
2020/10/20,火,20597
2020/10/21,水,20559
2020/10/22,木,20198
2020/10/23,金,21557
2020/10/24,土,19954
2020/10/25,日,16012
2020/10/26,月,20989
2020/10/27,火,21026
2020/10/28,水,20922
2020/10/29,木,21169
2020/10/30,金,21945
2020/10/31,土,20864
2020/11/1,日,15535
2020/11/2,月,20507
2020/11/3,火,15980
2020/11/4,水,20922
2020/11/5,木,21415
2020/11/6,金,22130
2020/11/7,土,17780
2020/11/8,日,14902
2020/11/9,月,20645
2020/11/10,火,21265
2020/11/11,水,20614
2020/11/12,木,20942
2020/11/13,金,21953
2020/11/14,土,19130
2020/11/15,日,15026
2020/11/16,月,20716
2020/11/17,火,20851
2020/11/18,水,20604
2020/11/19,木,21317
