日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/1/1,祝,三宮,2069,731,9850,54,,,
2019/1/1,祝,西神中央,904,216,2738,11,,,
2019/1/2,水,三宮,3489,979,13124,65,,,
2019/1/2,水,西神中央,1236,385,3663,12,,,
2019/1/3,木,三宮,3847,1260,13397,64,,,
2019/1/3,木,西神中央,1268,529,3894,17,,,
2019/1/4,金,三宮,8734,1813,15342,85,,,
2019/1/4,金,西神中央,3427,840,4849,42,,,
2019/1/5,土,三宮,5861,1927,14316,63,,,
2019/1/5,土,西神中央,2038,998,3965,36,,,
2019/1/6,日,三宮,4287,1665,11825,50,,,
2019/1/6,日,西神中央,1440,756,3470,33,,,
2019/1/7,月,三宮,13221,3590,15809,41,,,
2019/1/7,月,西神中央,6009,1383,6585,31,,,
2019/1/8,火,三宮,13318,4820,15883,32,,,
2019/1/8,火,西神中央,6075,2358,6657,31,,,
2019/1/9,水,三宮,13091,4823,16279,36,,,
2019/1/9,水,西神中央,6013,2401,6514,32,,,
2019/1/10,木,三宮,13289,4861,17034,36,,,
2019/1/10,木,西神中央,6054,2334,6849,36,,,
2019/1/11,金,三宮,13334,4761,19654,46,,,
2019/1/11,金,西神中央,5997,2346,7362,29,,,
2019/1/12,土,三宮,6121,2738,15802,57,,,
2019/1/12,土,西神中央,2185,1335,4180,30,,,
2019/1/13,日,三宮,4923,1927,14667,84,,,
2019/1/13,日,西神中央,1666,894,3760,41,,,
2019/1/14,祝,三宮,4902,1862,12887,42,,,
2019/1/14,祝,西神中央,1809,926,3677,23,,,
2019/1/15,火,三宮,13218,4537,15995,24,,,
2019/1/15,火,西神中央,6012,2252,6554,36,,,
2019/1/16,水,三宮,13246,4559,16333,30,,,
2019/1/16,水,西神中央,5984,2298,6659,33,,,
2019/1/17,木,三宮,13275,4656,17668,36,,,
2019/1/17,木,西神中央,5979,2300,6630,37,,,
2019/1/18,金,三宮,13289,4025,19120,45,,,
2019/1/18,金,西神中央,5956,2250,7088,22,,,
2019/1/19,土,三宮,6334,2037,15970,120,,,
2019/1/19,土,西神中央,2350,1410,4823,14,,,
2019/1/20,日,三宮,4698,1662,12598,68,,,
2019/1/20,日,西神中央,1609,861,3420,15,,,
2019/1/21,月,三宮,13153,4246,16070,106,,,
2019/1/21,月,西神中央,5995,2175,6491,26,,,
2019/1/22,火,三宮,13186,3851,16390,60,,,
2019/1/22,火,西神中央,6043,2070,6558,20,,,
2019/1/23,水,三宮,13014,3899,16796,36,,,
2019/1/23,水,西神中央,5926,2081,6589,20,,,
2019/1/24,木,三宮,13265,4471,17110,34,,,
2019/1/24,木,西神中央,5940,2117,6507,17,,,
2019/1/25,金,三宮,13311,4429,19274,50,,,
2019/1/25,金,西神中央,5952,2174,6987,17,,,
2019/1/26,土,三宮,6327,2528,15853,42,,,
2019/1/26,土,西神中央,2265,1256,4300,27,,,
2019/1/27,日,三宮,4810,2016,13619,78,,,
2019/1/27,日,西神中央,1582,936,3497,23,,,
2019/1/28,月,三宮,13206,4429,15362,28,,,
2019/1/28,月,西神中央,5934,2191,6091,15,,,
2019/1/29,火,三宮,13419,4320,16565,32,,,
2019/1/29,火,西神中央,6097,2210,6507,14,,,
