全国地方公共団体コード,都道府県名,日付,症状等の相談件数,全相談件数
240001,三重県,2020/2/10,4,39
240001,三重県,2020/2/11,1,9
240001,三重県,2020/2/12,4,39
240001,三重県,2020/2/13,3,24
240001,三重県,2020/2/14,11,69
240001,三重県,2020/2/15,10,45
240001,三重県,2020/2/16,3,34
240001,三重県,2020/2/17,22,118
240001,三重県,2020/2/18,28,138
240001,三重県,2020/2/19,17,135
240001,三重県,2020/2/20,13,107
240001,三重県,2020/2/21,36,122
240001,三重県,2020/2/22,19,84
240001,三重県,2020/2/23,15,69
240001,三重県,2020/2/24,18,112
240001,三重県,2020/2/25,44,233
240001,三重県,2020/2/26,34,233
240001,三重県,2020/2/27,43,211
240001,三重県,2020/2/28,50,218
240001,三重県,2020/2/29,31,115
240001,三重県,2020/3/1,20,110
240001,三重県,2020/3/2,57,260
240001,三重県,2020/3/3,34,229
240001,三重県,2020/3/4,65,243
240001,三重県,2020/3/5,44,243
240001,三重県,2020/3/6,48,255
240001,三重県,2020/3/7,22,129
240001,三重県,2020/3/8,16,89
240001,三重県,2020/3/9,81,283
240001,三重県,2020/3/10,41,201
240001,三重県,2020/3/11,50,379
240001,三重県,2020/3/12,55,330
240001,三重県,2020/3/13,50,340
240001,三重県,2020/3/14,12,149
240001,三重県,2020/3/15,15,109
240001,三重県,2020/3/16,53,322
240001,三重県,2020/3/17,40,237
240001,三重県,2020/3/18,35,244
240001,三重県,2020/3/19,39,293
240001,三重県,2020/3/20,28,150
240001,三重県,2020/3/21,28,149
240001,三重県,2020/3/22,11,91
240001,三重県,2020/3/23,62,261
240001,三重県,2020/3/24,55,212
240001,三重県,2020/3/25,131,244
240001,三重県,2020/3/26,136,249
240001,三重県,2020/3/27,185,338
240001,三重県,2020/3/28,120,183
240001,三重県,2020/3/29,89,153
240001,三重県,2020/3/30,276,429
240001,三重県,2020/3/31,211,484
240001,三重県,2020/4/1,336,652
240001,三重県,2020/4/2,358,753
240001,三重県,2020/4/3,289,648
240001,三重県,2020/4/4,295,435
240001,三重県,2020/4/5,219,317
240001,三重県,2020/4/6,468,756
240001,三重県,2020/4/7,315,560
240001,三重県,2020/4/8,321,529
240001,三重県,2020/4/9,308,564
240001,三重県,2020/4/10,343,691
240001,三重県,2020/4/11,208,345
240001,三重県,2020/4/12,207,357
240001,三重県,2020/4/13,440,715
240001,三重県,2020/4/14,356,572
240001,三重県,2020/4/15,282,530
