日付,新規陽性患者数,うち感染経路判明,うち感染経路不明,退院・回復者数,死亡者数,検査実施人数,うち衛生研究所,うち医療機関等,うち保健所,うち診療所,うちPCR検査所
2021/1/25,31,20,11,132,1,49,4,集計中,45,集計中,-
2021/1/24,72,49,23,112,3,569,115,156,257,41,-
2021/1/23,101,71,30,127,0,598,8,67,250,273,-
2021/1/22,93,68,25,178,3,1648,44,620,488,496,-
2021/1/21,111,79,32,133,6,1619,8,766,385,460,-
2021/1/20,89,54,35,80,4,1748,34,870,335,509,-
2021/1/19,94,54,40,79,2,1202,24,607,21,550,-
2021/1/18,43,24,19,96,4,639,20,148,42,429,-
2021/1/17,83,40,43,65,5,582,44,206,250,82,-
2021/1/16,99,60,39,92,1,1061,21,506,181,353,-
2021/1/15,135,87,48,117,4,1323,54,552,246,471,-
2021/1/14,126,67,59,104,3,1506,35,535,462,474,-
2021/1/13,100,50,50,78,5,1307,37,729,0,541,-
2021/1/12,37,17,20,43,5,958,14,286,39,619,-
2021/1/11,87,57,30,51,3,140,39,2,22,77,-
2021/1/10,159,93,66,29,2,625,77,3,431,114,-
2021/1/9,140,72,68,76,1,808,26,166,248,368,-
2021/1/8,146,78,68,72,4,1546,75,623,219,629,-
2021/1/7,177,101,76,118,3,1411,31,511,296,573,-
2021/1/6,150,73,77,175,6,1377,27,525,245,580,-
2021/1/5,93,43,50,73,6,1430,9,646,130,645,-
2021/1/4,71,43,28,77,2,1039,129,251,212,447,-
2021/1/3,102,68,34,142,4,250,18,14,158,60,-
2021/1/2,68,46,22,48,1,579,191,3,335,50,-
2021/1/1,96,59,37,106,2,156,67,8,18,63,-
2020/12/31,126,103,23,66,0,857,46,5,631,175,-
2020/12/30,139,83,56,70,2,361,159,46,5,151,-
2020/12/29,98,51,47,41,3,843,69,263,0,511,-
2020/12/28,56,37,19,81,2,824,12,145,3,664,-
2020/12/27,130,94,36,78,1,379,33,0,267,79,-
2020/12/26,110,70,40,88,0,853,14,85,315,439,-
2020/12/25,139,96,43,100,2,1297,90,430,265,512,-
2020/12/24,142,99,43,98,4,1463,24,627,265,547,-
2020/12/23,114,56,58,96,1,1685,63,517,398,707,-
2020/12/22,91,36,55,84,0,1627,8,834,2,783,-
2020/12/21,35,21,14,74,2,1007,47,153,82,725,-
2020/12/20,77,43,34,39,1,228,41,0,116,71,-
2020/12/19,86,45,41,101,0,742,23,80,289,350,-
2020/12/18,85,45,40,146,2,1172,83,379,101,609,-
2020/12/17,103,60,43,76,0,976,45,407,188,336,-
2020/12/16,122,79,43,106,3,1128,107,372,201,448,-
2020/12/15,90,52,38,132,0,1091,125,490,13,463,-
2020/12/14,50,37,13,53,0,1080,15,124,475,466,-
2020/12/13,93,59,34,90,0,173,90,0,27,56,-
2020/12/12,107,49,58,50,0,595,43,24,194,334,-
2020/12/11,79,52,27,100,1,1231,80,359,305,487,-
2020/12/10,113,47,66,102,0,1137,7,442,235,453,-
2020/12/9,100,54,46,87,0,1038,68,374,201,395,-
2020/12/8,85,46,39,79,3,971,74,387,2,508,-
2020/12/7,64,40,24,77,0,774,28,120,154,472,-
