日付,府管轄保健所,政令中核市
2020-02-04,110,114
2020-02-05,95,140
2020-02-06,83,111
2020-02-07,77,107
2020-02-08,7,21
2020-02-09,6,11
2020-02-10,84,100
2020-02-11,6,2
2020-02-12,53,119
2020-02-13,77,83
2020-02-14,143,211
2020-02-15,10,45
2020-02-16,3,44
2020-02-17,281,381
2020-02-18,266,526
2020-02-19,313,410
2020-02-20,237,375
2020-02-21,252,430
2020-02-22,98,226
2020-02-23,84,143
2020-02-24,94,205
2020-02-25,460,641
2020-02-26,426,626
2020-02-27,401,703
2020-02-28,410,688
2020-02-29,127,439
2020-03-01,96,353
2020-03-02,564,878
2020-03-03,470,808
2020-03-04,407,862
2020-03-05,499,1058
2020-03-06,640,653
2020-03-07,144,376
2020-03-08,144,299
2020-03-09,834,865
2020-03-10,595,804
2020-03-11,603,930
2020-03-12,540,865
2020-03-13,582,1044
2020-03-14,209,493
2020-03-15,121,390
2020-03-16,641,898
2020-03-17,468,855
2020-03-18,499,982
2020-03-19,463,959
2020-03-20,141,440
2020-03-21,109,554
2020-03-22,114,375
2020-03-23,583,1110
2020-03-24,480,878
2020-03-25,447,989
2020-03-26,493,1211
2020-03-27,678,1163
2020-03-28,223,883
2020-03-29,191,969
2020-03-30,1226,1839
2020-03-31,1080,2013
2020-04-01,1092,1822
2020-04-02,1158,2179
2020-04-03,1178,1974
2020-04-04,191,1416
2020-04-05,188,1096
2020-04-06,1625,2165
2020-04-07,1364,1737
2020-04-08,1414,2094
2020-04-09,1294,2274
2020-04-10,1344,2539
2020-04-11,366,1653
2020-04-12,348,1251
2020-04-13,1759,2037
2020-04-14,1269,2373
2020-04-15,1159,2343
2020-04-16,1245,2337
2020-04-17,1176,2913
2020-04-18,443,1801
2020-04-19,445,1316
2020-04-20,1377,2460
2020-04-21,1061,2306
2020-04-22,977,2490
2020-04-23,934,2290
2020-04-24,1038,2526
2020-04-25,549,2093
2020-04-26,427,1985
2020-04-27,1142,2288
2020-04-28,836,2361
2020-04-29,445,423
2020-04-30,938,2258
2020-05-01,712,1873
2020-05-02,432,1177
2020-05-03,399,1215
2020-05-04,513,1317
2020-05-05,507,1403
2020-05-06,560,1732
2020-05-07,902,2290
2020-05-08,589,1966
2020-05-09,516,1514
2020-05-10,366,1158
2020-05-11,921,2141
2020-05-12,535,1815
2020-05-13,532,1592
2020-05-14,463,1555
2020-05-15,392,1559
2020-05-16,287,827
2020-05-17,291,640
2020-05-18,516,1425
2020-05-19,377,1104
2020-05-20,312,1105
2020-05-21,316,882
2020-05-22,278,881
