日付,相談件数
2020-01-29,194
2020-01-30,379
2020-01-31,387
2020-02-01,313
2020-02-02,154
2020-02-03,263
2020-02-04,238
2020-02-05,151
2020-02-06,144
2020-02-07,145
2020-02-08,91
2020-02-09,65
2020-02-10,93
2020-02-11,74
2020-02-12,86
2020-02-13,69
2020-02-14,158
2020-02-15,229
2020-02-16,206
2020-02-17,278
2020-02-18,288
2020-02-19,201
2020-02-20,203
2020-02-21,213
2020-02-22,211
2020-02-23,288
2020-02-24,286
2020-02-25,301
2020-02-26,282
2020-02-27,234
2020-02-28,364
2020-02-29,249
2020-03-01,331
2020-03-02,339
2020-03-03,289
2020-03-04,290
2020-03-05,300
2020-03-06,294
2020-03-07,263
2020-03-08,264
2020-03-09,300
2020-03-10,297
2020-03-11,273
2020-03-12,303
2020-03-13,327
2020-03-14,273
2020-03-15,268
2020-03-16,316
2020-03-17,301
2020-03-18,274
2020-03-19,283
2020-03-20,269
2020-03-21,270
2020-03-22,248
2020-03-23,272
2020-03-24,266
2020-03-25,266
2020-03-26,291
2020-03-27,277
2020-03-28,320
2020-03-29,275
2020-03-30,288
2020-03-31,357
2020-04-01,297
2020-04-02,286
2020-04-03,563
2020-04-04,410
2020-04-05,406
2020-04-06,423
2020-04-07,423
2020-04-08,424
2020-04-09,413
2020-04-10,362
2020-04-11,276
2020-04-12,250
2020-04-13,303
2020-04-14,289
2020-04-15,406
2020-04-16,329
2020-04-17,432
2020-04-18,346
2020-04-19,355
2020-04-20,248
2020-04-21,306
2020-04-22,304
2020-04-23,255
2020-04-24,239
2020-04-25,284
2020-04-26,323
2020-04-27,261
2020-04-28,236
2020-04-29,258
2020-04-30,299
2020-05-01,234
2020-05-02,420
2020-05-03,386
2020-05-04,513
2020-05-05,544
2020-05-06,452
2020-05-07,462
2020-05-08,421
2020-05-09,477
2020-05-10,435
2020-05-11,503
2020-05-12,372
2020-05-13,351
2020-05-14,320
2020-05-15,296
2020-05-16,289
2020-05-17,251
2020-05-18,307
2020-05-19,242
2020-05-20,228
2020-05-21,209
2020-05-22,473
2020-05-23,281
2020-05-24,177
2020-05-25,331
2020-05-26,187
2020-05-27,198
2020-05-28,186
2020-05-29,172
2020-05-30,180
2020-05-31,167
2020-06-01,256
2020-06-02,275
2020-06-03,264
2020-06-04,263
2020-06-05,224
2020-06-06,213
2020-06-07,199
2020-06-08,269
2020-06-09,209
2020-06-10,200
2020-06-11,156
2020-06-12,153
2020-06-13,139
2020-06-14,137
2020-06-15,188
2020-06-16,154
2020-06-17,161
2020-06-18,153
2020-06-19,149
2020-06-20,131
2020-06-21,129
2020-06-22,165
2020-06-23,130
2020-06-24,125
2020-06-25,169
2020-06-26,148
2020-06-27,121
2020-06-28,115
2020-06-29,186
2020-06-30,156
2020-07-01,167
2020-07-02,172
2020-07-03,206
2020-07-04,184
2020-07-05,211
2020-07-06,274
2020-07-07,179
2020-07-08,189
2020-07-09,252
2020-07-10,273
2020-07-11,286
2020-07-12,327
2020-07-13,401
2020-07-14,341
2020-07-15,382
2020-07-16,424
2020-07-17,457
2020-07-18,500
2020-07-19,456
2020-07-20,540
2020-07-21,437
2020-07-22,400
2020-07-23,514
2020-07-24,443
2020-07-25,590
2020-07-26,494
2020-07-27,458
2020-07-28,439
2020-07-29,392
2020-07-30,436
2020-07-31,341
2020-08-01,398
2020-08-02,438
2020-08-03,446
2020-08-04,408
2020-08-05,389
