日付,曜日,相談件数,うち来所,うち電話,うちメール,うちFAX
2月10日,月,0,0,0,0,0
2月11日,火,0,0,0,0,0
2月12日,水,9,0,9,0,0
2月13日,木,1,1,0,0,0
2月14日,金,2,1,1,0,0
2月15日,土,0,0,0,0,0
2月16日,日,0,0,0,0,0
2月17日,月,4,1,3,0,0
2月18日,火,6,5,1,0,0
2月19日,水,7,4,3,0,0
2月20日,木,6,1,5,0,0
2月21日,金,12,6,6,0,0
2月22日,土,0,0,0,0,0
2月23日,日,0,0,0,0,0
2月24日,月,0,0,0,0,0
2月25日,火,16,6,10,0,0
2月26日,水,15,4,11,0,0
2月27日,木,18,5,13,0,0
2月28日,金,24,4,20,0,0
2月29日,土,0,0,0,0,0
3月1日,日,0,0,0,0,0
3月2日,月,60,22,38,0,0
3月3日,火,66,22,44,0,0
3月4日,水,94,43,51,0,0
3月5日,木,121,45,76,0,0
3月6日,金,84,30,54,0,0
3月7日,土,0,0,0,0,0
3月8日,日,0,0,0,0,0
3月9日,月,138,53,85,0,0
3月10日,火,126,45,81,0,0
3月11日,水,182,39,143,0,0
3月12日,木,201,81,120,0,0
3月13日,金,159,74,85,0,0
3月14日,土,0,0,0,0,0
3月15日,日,0,0,0,0,0
3月16日,月,236,89,147,0,0
3月17日,火,196,86,110,0,0
3月18日,水,187,76,111,0,0
3月19日,木,212,94,118,0,0
3月20日,金,0,0,0,0,0
3月21日,土,0,0,0,0,0
3月22日,日,0,0,0,0,0
3月23日,月,243,99,144,0,0
3月24日,火,167,81,86,0,0
3月25日,水,200,80,120,0,0
3月26日,木,163,68,95,0,0
3月27日,金,164,74,90,0,0
3月28日,土,0,0,0,0,0
3月29日,日,0,0,0,0,0
3月30日,月,177,68,109,0,0
3月31日,火,162,78,84,0,0
4月1日,水,174,91,83,0,0
4月2日,木,204,106,98,0,0
4月3日,金,200,89,111,0,0
4月4日,土,0,0,0,0,0
4月5日,日,0,0,0,0,0
4月6日,月,228,99,129,0,0
4月7日,火,199,89,110,0,0
4月8日,水,234,92,142,0,0
4月9日,木,243,115,128,0,0
4月10日,金,223,122,101,0,0
4月11日,土,0,0,0,0,0
4月12日,日,0,0,0,0,0
4月13日,月,279,124,155,0,0
4月14日,火,225,110,115,0,0
4月15日,水,234,109,125,0,0
4月16日,木,213,101,112,0,0
4月17日,金,217,93,124,0,0
4月18日,土,0,0,0,0,0
4月19日,日,0,0,0,0,0
4月20日,月,221,104,117,0,0
4月21日,火,227,111,116,0,0
