日付,日陽性数,陽性累計,日患者数,患者累計,日死亡数,死亡累計,日治療終了数,治療終了累計
2020-02-14T08:00:00.000Z,1,1,1,1,0,0,0,0
2020-02-15T08:00:00.000Z,0,1,0,1,0,0,0,0
2020-02-16T08:00:00.000Z,0,1,0,1,0,0,0,0
2020-02-17T08:00:00.000Z,0,1,0,1,0,0,0,0
2020-02-18T08:00:00.000Z,1,2,1,2,0,0,0,0
2020-02-19T08:00:00.000Z,1,3,1,3,0,0,0,0
2020-02-20T08:00:00.000Z,0,3,0,3,0,0,0,0
2020-02-21T08:00:00.000Z,0,3,0,3,0,0,0,0
2020-02-22T08:00:00.000Z,1,4,1,4,0,0,0,0
2020-02-23T08:00:00.000Z,0,4,0,4,0,0,0,0
2020-02-24T08:00:00.000Z,2,6,2,6,0,0,0,0
2020-02-25T08:00:00.000Z,2,8,2,8,0,0,0,0
2020-02-26T08:00:00.000Z,0,8,0,8,0,0,0,0
2020-02-27T08:00:00.000Z,2,10,1,9,0,0,1,1
2020-02-28T08:00:00.000Z,3,13,3,12,0,0,0,1
2020-02-29T08:00:00.000Z,3,16,3,15,0,0,0,1
2020-03-01T08:00:00.000Z,0,16,0,15,0,0,0,1
2020-03-02T08:00:00.000Z,1,17,1,16,0,0,0,1
2020-03-03T08:00:00.000Z,2,19,2,18,0,0,0,1
2020-03-04T08:00:00.000Z,0,19,-1,17,0,0,1,2
2020-03-05T08:00:00.000Z,1,20,0,17,0,0,1,3
2020-03-06T08:00:00.000Z,3,23,1,18,0,0,2,5
2020-03-07T08:00:00.000Z,6,29,6,24,0,0,0,5
2020-03-08T08:00:00.000Z,0,29,0,24,0,0,0,5
2020-03-09T08:00:00.000Z,5,34,4,28,0,0,1,6
2020-03-10T08:00:00.000Z,3,37,2,30,0,0,1,7
2020-03-11T08:00:00.000Z,4,41,4,34,0,0,0,7
2020-03-12T08:00:00.000Z,9,50,7,41,1,1,1,8
2020-03-13T08:00:00.000Z,6,56,6,47,0,1,0,8
