shop,place,tel,omotenashi,time,holiday,latitude,longitude
居食屋　太平楽,会津若松市桧町3-3,0242-29-6385,今日のお薦めの逸品,17:00～22:00,不定休,37.50045,139.94403
笑楽食酒　ほっぺ,会津若松市栄町5-49,0242-22-5675,ワンドリンクサービス,17:30～24:00,日曜日(但し事前のご予約のみ営業),37.49534,139.93124
酒菜天味,会津若松市栄町4-39パピヨンプラザビル1階西,0242-93-5160,お通しサービス,17:00～23:00,原則日曜日,37.49681,139.93197
串焼　さぶろく亭,会津若松市上町1-27,0242-32-8227,枝豆サービス,17:30～23:30,不定休,37.49651,139.93367
居酒や　ゑびす亭,会津若松市上町1-26,0242-23-1318,小鉢一品サービス,17:00～23:00,毎週日曜日,37.49656,139.93369
居酒屋　舞酒,会津若松市上町1-19,0242-24-6420,おつまみ1品サービス,17:00～23:00,不定休,37.49695,139.93365
ねぼけ茶屋,会津若松市宮町4-6,0242-32-8088,小鉢（枝豆）サービス,17:00～23:00,第三日曜日,37.49582,139.93374
和彩だいにんぐ夢家,会津若松市山鹿町6-67 サイトウBuild104,0242-23-8696,おつまみ1品サービス,17:30～23:00,火曜日,37.49082,139.92674
彩喰彩酒會津っこ,会津若松市栄町4-49,0242-32-6232,お通しサービス,17:00～23:00,日曜日,37.49614,139.93175
居酒屋　よさく,会津若松市馬場町1-42,0242-25-4614,おつまみ1品サービス,17:00～23:30,不定休,37.49737,139.9321
花小路　のり平,会津若松市栄町1-34,0242-25-2577,おつまみ1品サービス,"ランチ　11:30～13:30
夜　17:00～22:00",ランチ　土・日・祝日／夜　日曜日,37.49575,139.92954
お食事処　居酒屋　楽天家,会津若松市大町1丁目8-20,0242-24-0811,鶏もも軟骨唐揚げ、枝豆、自家製なす漬、とうもろこしから1品日替わりサービス,17:00～23:00（L.O.22:30）,日曜日(日・月連休の際は月曜日休み),37.49975,139.92881
會津桜鍋　鶴我　会津本店,会津若松市東栄町4-21,0242-29-4829,ソフトドリンク　1杯サービス,"ランチ　11:30～14:00
夜　17:00～24:00",不定休,37.49491,139.93069
こだわりやま会津若松駅前店,会津若松市駅前町6-420,0242-37-0223,郷土料理　1品サービス,15:00～22:00,月曜日,37.5068,139.93136
やきとり家すみれ会津若松店,会津若松市東千石2-2-1,0242-23-7421,ワンドリンクサービス　290円(税抜き)以下の商品,"平日16:00～24:00
＜テイクアウト全日11:30～＞
土日祝11:30～24:00",無休,37.49769,139.94406
Taro食堂,会津若松市中央1丁目3-12,0242-85-7751,ドリンク１杯サービス(ただし一部商品を除く),17:30～23:00(L.O.),日曜日　ただし月曜祝日の場合営業,37.49909,139.92965
串焼居酒屋　会津豚とん拍子,会津若松市大町1-8-5 カネマンビル1F,0242-37-0888,おすすめのおつまみ1品サービス,17:00～24:00,日曜日(祝前日は営業),37.49945,139.92814
上酒林,会津若松市上町1-16,0242-32-2288,おつまみ1品サービス,17:00～23:00,不定休,37.49703,139.93334
煮ん煮くya,会津若松市栄町5-35つな家ビル1F,0242-23-8540,おつまみ1品サービス,17:00～22:30　(22:00ラストオーダー),木曜日,37.49633,139.93113
Soupcurry&Dining tipu,会津若松市東栄町6-24,0242-77-4037,おつまみ一品サービス,17:30～翌1:00,火曜日,37.49472,139.93229
beercafe thirdplace,会津若松市上町8-23 U0823ビル1F,0242-77-5085,おつまみ1品サービス,17:30～翌1:00,火曜日,37.49689,139.93499
