category,name,title,service,sales_method,message,place,tel,fax,website,latitude,longitude
飲食,元祖ほるもん道場 会津清水通り店,レディース・デー開催！【一般消費者向け】,"１０月、１１月の第１と第３水曜日は、女性グループ２時間限定で、アルコール類を一杯２９円でご奉仕させて頂きます。
※アルコールで一部対象外の商品もございます。
米沢牛ホルモン、牛肉、豚肉、鶏肉、馬肉、ラム、ワニ、その他","■営業時間/17：00～24：00
■定休日/無休",今回は１０月、１１月でレディース・デーを開催致します。今後も定期的に開催して行く予定ですので、ご注目下さい。また、桜（馬肉）フェアも現在開催中で、複数部位の馬肉も楽しめますので、是非この機会にお越し下さい。これからも各種フェアを企画して参りますので宜しくお願い致します。,福島県会津若松市栄町4-28,0242-24-9484,0242-23-7929,,37.496751,139.930985
飲食,AdoriA 北出丸カフェ,お得なランチメニューとテイクアウトのお知らせ【一般消費者向け】,"ランチメニュー ※メニューは定期的に替わります
①パスタランチセット 1,300円
　ソースは定期的に変更になります。店内メニュー表をご覧ください。
②オムライスランチセット 1,300円
　熱々とろとろのたまごにデミグラスソースが相性バツグンの一品です。
③グリーンカレーランチセット 1,300円
　タイの唐辛子「プリッキーヌ」の爽やかな辛さとココナッツがベストマッチです。
④ガパオライスランチセット 1,300円
　ホーリーバジル香る挽肉に、半熟目玉焼きを混ぜてお召し上がりください。
⑤三元豚のロースステーキランチセット 1,500円
　甘くて柔らかい豚ロースを特製赤ワインソースでお召し上がりください。
⑥国産黒毛和牛ビーフシチューランチセット 1,600円
　口の中でとろける程煮込んだアドリア名物の一品です。","ランチタイム 火曜日～日曜日 11時～14時
テイクアウト販売方法 販売時間 10：30～14：00 ※その他の時間は要相談
当日のご予約は10：30までお願いします。配達は行っておりません。",木の温もりを感じる店内、四季折々が楽しめるテラス席で優雅なひと時をお過ごしください。　各種宴会、会合等も承っております。お気軽にお問合せ下さい。,福島県会津若松市追手町4-28 周遊バス「あかべえ・ハイカラさん」鶴ケ城入口下車すぐ,0242-27-3600,0242-27-3700,https://www.adoken.co.jp/cafe/,37.489896,139.931079
飲食,株式会社 鶴我,会津産・国産馬肉の赤身を使った「馬肉弁当」【一般消費者向け】,"低カロリー、低コレステロール、高タンパク。女性のダイエット食・アスリート食として人気の馬肉。会津の名物弁当として馬肉弁当3種類が誕生しました。8種類の馬肉料理が楽しめる「馬力弁当」税込み1,500円。会津の郷土料理と馬肉料理が楽しめる「会津の馬い弁当」税込み1,500円。会津馬肉（さくら肉）の「桜すき焼き弁当」税込み1,000円。
テイクアウト、デリバリーもやっています。","3日前までに、鶴我会津本店、電話、ファックス、またはメールで申し込みしてください。5,000円以上ののご注文で会津若松市内エリア（一部エリア除きます）配達いたします。テイクアウトは、2個以上のご注文でお願いいたします。",ぜひ、会津の新名物弁当、「会津馬肉弁当」をご注文ください。女性のダイエット食・アスリート食として人気の馬肉弁当を食べて、免疫力、体力をつけてコロナウイルスをやつけましょう。テイクアウト・デリバリー対応しています。,福島県会津若松市東山町大字石山字院内151,0242-29-4829,0242-23-9353,https://turuga829.com/,37.484539,139.952736
飲食,インド料理レストラン カーンナワブ,インドカレーのお弁当始めました【一般消費者用】,"・タンドリーチキンカレーセット １,０５０円（税込）【画像のもの】
・チーズナンカレーセット １,０５０円（税込）
・カレーセット ７００円（税込）
・ごはんカレーセット ５００円（税込）
また、ランチをお店で食べる方は、ナンとライスおかわりできます！！
ランチは、土日もやってます。","【お弁当注文時間】１１時から１９時
【ランチ】１１時から１４時３０分
【ディナー】１７時より
【定休日】月曜日","会津弁ペラペラのコックさんのチーズナンが最高です。
タンドリーチキンとインドビールも最高の味です。",福島県会津若松市栄町1-41番,050-1133-5636,050-1133-5636,,37.495502,139.929812
飲食,会津若松ワシントンホテル ガスライト,お得なガスライトディナーセット【一般消費者向け】,"～お得なガスライトディナーセット～
ガスライトステーキセット200ｇ
平日価格￥1500 土日・祝日￥2000 税別・サービス料込","店舗販売
営業時間17:30～23:00（ラストオーダー22:30）","12月よりリニューアルしたガスライトでステーキをご賞味下さい。
市街地の夜景を一望できる最高のシチュエーションでスタッフ一同皆様のご来店をお待ちしております。",福島県会津若松市白虎町201 会津若松ワシントンホテル10階,0242-22-6130,0242-32-6110,,37.506895,139.933666
飲食,會津バル,テイクアウトメニューのご案内【一般消費者用、業務用】,"1.オードブル　￥3,000(税込)
2.ビーフシチュー　￥880(税込)
3.アクアパッツァ　￥780(税込)
4.エンパナーダ各種　￥280(税込）
5.バスクチーズケーキ　￥380(税込）
その他ご予算に応じた内容にも対応致します。","店舗販売11:30-21:30
事前にご連絡下さい(当日でも可)
会計金額￥3,000以上で近隣へお届け致します。","当店の味をより多くの方に知って頂きたくテイクアウトを始めました。
以前からお店の前を通り気になっていた皆さま、今は外食を控えている皆さま、この機会にテイクアウトをお試しになりませんか？
ご予約お待ちしております。",福島県会津若松市大町1丁目9-5 石川ビル1階,0242-36-7257,0242-36-7258,https://www.facebook.com/aizubaru/,37.498706,139.928068
飲食,富幸,＼テイクアウトはじめました／【一般消費者向け】,"・日替わり晩酌セット　￥1,000（１日限定１０食・要予約）
・オードブルもご要望により承ります
・通常メニューのテイクアウトも大歓迎
長らく臨時休業をしておりましたが、６月１日より新型コロナウィルス染症対策を万全に期して店舗営業も行っております。","【テイクアウト可能な日】
　月～木曜日
　※ただしご要望がございましたら、金・土曜日もお作りすることも可能です。
【営業日】
　月～土曜日

【定休日】
　日曜日・祝日

【営業時間】
　１７時～２２時（料理ラストオーダーは２１時）

【テイクアウト販売方法】
　お受け取り希望の前日２２時までにご予約
　当日店舗販売","営業自粛要請を受け、約1ヶ月間休業をしておりましたが、この度、新型コロナウィルス感染対策を徹底したうえで営業を再開することとなりました。
テイクアウトも [ 要予約 ・ 限定１０食 ] で行っております！
内容は日替わりですので、お問い合わせください。
ぜひ、お試しくださいませ (*^^*)
※仕入れ状況によりメニューの変更もございます。",福島県会津若松市東栄町6-8,0242-27-9690・090-8423-7272,,,37.494424,139.93133
飲食,会津迎賓館 寿し万,会津の味の「にしんの笹寿し」の特別販売【一般消費者向け】,"今まで１０ヶ入れと２０ヶ入れしかなかったのですが、５ヶ入れを追加しました。
より多くの方に少しずつでも味わっていただきたいと思います。","５ヶ、１０ヶ、２０ヶ入れとお好みの数によってパッケージにして、冷蔵宅配にて、当日作って、当日発送します。
宅配注文は前日まで。
お店のテイクアウトは、店の状況により、２０分～３０分くらいお待たせします。",新型コロナ感染拡大対策のため、外出自粛のため、都会から来る人、田舎から都会に出られない人は、春の一番良い季節に、故郷の味を味わっていただきたいと思います。,福島県会津若松市駅前町6-25,0242-25-3311,0242-32-2280,http://www.aidugeihinkan.co.jp/,37.5064203,139.9312383
飲食,ダイニングバー Ortensia -オルテンシア-,テイクアウト始めました！！【一般消費者向け】,"・カプリチョーザピザ M/\900 L/\1,150
・クワトロフォルマッジ M/\1,050 L/\1,300
・エビとイカとネギのクリームソースピザ M/\1,000 L/\1,250
・彩り野菜のサラダ(ドレッシング付き) \800
・ポテトフライ ～トリュフマヨ添え～ \500
・ライスコロッケ(3コ) \700
※価格は税込価格です。","・受取時間 17:30～19:30
※お持ち帰りのみ(デリバリーは不可)
事前にお電話にてご注文ください
毎週(月) 定休日","この度新型コロナウイルスの感染拡大に伴い、期間限定でテイクアウトを始めさせていただくこととなりました。
当店ではお受け取り時間に合わせて焼きたて・揚げたてでご用意させていただきますので、ご家庭に居ながらOrtensia店内でお出しする同じお料理をお楽しみ頂けます。
是非この機会にOrtnsiaをご利用ください。お電話お待ち致しております。",福島県会津若松市行仁町2-35-2F,0242-22-6668,,https://www.ortensia-aizu.com/,37.496603,139.935784
飲食,会席料理・郷土料理　鶴ヶ岡茶寮,日本料理屋のごちそう弁当始めます！！【一般消費者と業務用】,"お持ち帰り弁当を2種類ご用意致しました。
※折詰弁当2種と天丼は6月いっぱいで終了いたしました。
◆煮込みソースカツ丼 950円
◆オムライス 800円
（※価格は全て税込み）","基本、前日までの電話予約で当日、店頭にてお渡しとなります。
店舗販売［１１：３０～１８：００］まで
※ただし、夕方の受け渡しであれば、当日の電話予約も可能です。お問い合わせください！！
（月曜定休日）","お城の北出丸入口近く、茅葺（かやぶき）の門が目印のお食事処です。
お店の味をご自宅にお持ち帰りできるテイクアウトを是非ご利用下さい。
　※折詰弁当は、仕入れによって中身が変わります。
　※ご予算・内容等のご希望もお伺い致します。
　※ご慶弔時のお膳など、ご予算に応じてお作り出来ます。
　※まとまった数のご注文であれば、配達も致します。
また、店舗も営業しておりますので、どうぞ宜しくお願い致します。",福島県会津若松市東栄町8-47,0242-26-6052,0242-26-6052,,37.4916621,139.9315647
