施設名,住所,休館・利用休止期間（始）,休館・利用休止期間（終）,開館・利用開始日,問い合わせ先（部署名）,問い合わせ先（電話番号）,備考
札幌市中央卸売市場（市場見学、調理実習室のみ）,北海道札幌市中央区北12条西20丁目2-1,2020-2-25,未定,-,札幌市中央卸売市場管理課,011-611-3111,市場見学、調理実習室（貸室）の休止。
視聴覚障がい者情報センター(貸室),北海道札幌市中央区大通西19丁目,2020-2-25,2020-6-14,2020-6-15,視聴覚障がい者情報センター,011-631-6747,点字図書・録音図書の郵送貸出は従前から短縮対応（貸出受付時間短縮対応：火曜日、水曜日、金曜日8時45分～15時30分）。一部の事業を15日から再開。新規貸室受付15日から再開（ただし利用人数等の制限あり）。
札幌市こども人形劇場こぐま座,北海道札幌市中央区中島公園1-1,2020-2-28,2020-6-1,2020-6-2,中央区中島公園1-1,011-512-6886,6月1日は通常休館日。当面、夏以降の公園実施に向けた準備等の利用に限定。
中央健康づくりセンター,北海道札幌市中央区南3条西11丁目 中央保健センター3階、4階、5階,2020-2-28,2020-6-1,2020-6-2,保健福祉局保健所健康企画課,011-622-5153,6月1日は通常休館日。健診業務を再開（トレーニング室、教室は引き続き休止）
北ガスアリーナ札幌46（一般開放）,北海道札幌市中央区北4条東6丁目,2020-4-14,2020-5-31,2020-6-1,北ガスアリーナ札幌46,011-251-1815,一般開放は、6月15日から再開予定※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
中島体育センター（一般開放）,北海道札幌市中央区中島公園1番5号,2020-4-14,2020-5-31,2020-6-1,中島体育センター,011-530-5906,一般開放は、6月15日から再開予定※「利用時間割」等を施設のHPで御確認いただくか、左記の電話番号にお問い合わせの上ご利用ください。
円山動物園,北海道札幌市中央区宮ヶ丘3番地1,2020-4-14,2020-6-2,2020-6-3,環境局円山動物園経営管理課,011-621-1426,一部再開園に先立ち、6月1日（10時00分～12時00分）、2日（13時00分～15時00分）に「円山動物園さぽーとクラブ」の協力を得て、『動物の人馴れ訓練』を実施。
大倉山ジャンプ競技場（展望台のみ）（一般開放）,北海道札幌市中央区宮の森1274番地,2020-4-14,2020-5-31,2020-6-1,大倉山総合案内所,011-641-8585,
札幌オリンピックミュージアム,北海道札幌市中央区宮の森1274番地,2020-4-14,2020-5-31,2020-6-1,大倉山総合案内所,011-641-8585,
旧札幌農学校演武場（時計台）,北海道札幌市中央区北1条西2丁目,2020-4-14,2020-5-31,2020-6-1,時計台,011-231-0838,ボタン式の映像展示、クラークベンチ等、一部展示等の利用制限あり。
