日付,小計
2020-02-14T08:00:00.000Z,1
2020-02-15T08:00:00.000Z,0
2020-02-16T08:00:00.000Z,0
2020-02-17T08:00:00.000Z,0
2020-02-18T08:00:00.000Z,1
2020-02-19T08:00:00.000Z,1
2020-02-20T08:00:00.000Z,0
2020-02-21T08:00:00.000Z,0
2020-02-22T08:00:00.000Z,1
2020-02-23T08:00:00.000Z,0
2020-02-24T08:00:00.000Z,2
2020-02-25T08:00:00.000Z,1
2020-02-26T08:00:00.000Z,1
2020-02-27T08:00:00.000Z,2
2020-02-28T08:00:00.000Z,3
2020-02-29T08:00:00.000Z,3
2020-03-01T08:00:00.000Z,0
2020-03-02T08:00:00.000Z,1
2020-03-03T08:00:00.000Z,2
2020-03-04T08:00:00.000Z,0
2020-03-05T08:00:00.000Z,1
2020-03-06T08:00:00.000Z,3
2020-03-07T08:00:00.000Z,6
2020-03-08T08:00:00.000Z,0
2020-03-09T08:00:00.000Z,5
2020-03-10T08:00:00.000Z,3
2020-03-11T08:00:00.000Z,4
2020-03-12T08:00:00.000Z,9
2020-03-13T08:00:00.000Z,6
2020-03-14T08:00:00.000Z,7
2020-03-15T08:00:00.000Z,0
2020-03-16T08:00:00.000Z,3
2020-03-17T08:00:00.000Z,0
2020-03-18T08:00:00.000Z,1
2020-03-19T08:00:00.000Z,2
2020-03-20T08:00:00.000Z,1
2020-03-21T08:00:00.000Z,0
2020-03-22T08:00:00.000Z,1
2020-03-23T08:00:00.000Z,0
2020-03-24T08:00:00.000Z,1
2020-03-25T08:00:00.000Z,3
2020-03-26T08:00:00.000Z,0
2020-03-27T08:00:00.000Z,1
2020-03-28T08:00:00.000Z,1
2020-03-29T08:00:00.000Z,3
2020-03-30T08:00:00.000Z,0
2020-03-31T08:00:00.000Z,0
2020-04-01T08:00:00.000Z,0
2020-04-02T08:00:00.000Z,1
2020-04-03T08:00:00.000Z,3
2020-04-04T08:00:00.000Z,2
2020-04-05T08:00:00.000Z,0
2020-04-06T08:00:00.000Z,0
2020-04-07T08:00:00.000Z,4
2020-04-08T08:00:00.000Z,4
2020-04-09T08:00:00.000Z,8
2020-04-10T08:00:00.000Z,8
2020-04-11T08:00:00.000Z,12
2020-04-12T08:00:00.000Z,10
2020-04-13T08:00:00.000Z,2
2020-04-14T08:00:00.000Z,10
2020-04-15T08:00:00.000Z,16
2020-04-16T08:00:00.000Z,10
2020-04-17T08:00:00.000Z,20
2020-04-18T08:00:00.000Z,23
2020-04-19T08:00:00.000Z,12
2020-04-20T08:00:00.000Z,8
2020-04-21T08:00:00.000Z,17
2020-04-22T08:00:00.000Z,13
2020-04-23T08:00:00.000Z,18
2020-04-24T08:00:00.000Z,14
2020-04-25T08:00:00.000Z,26
2020-04-26T08:00:00.000Z,11
2020-04-27T08:00:00.000Z,26
2020-04-28T08:00:00.000Z,25
2020-04-29T08:00:00.000Z,26
2020-04-30T08:00:00.000Z,27
2020-05-01T08:00:00.000Z,21
2020-05-02T08:00:00.000Z,25
2020-05-03T08:00:00.000Z,22
2020-05-04T08:00:00.000Z,29
2020-05-05T08:00:00.000Z,9
2020-05-06T08:00:00.000Z,16
2020-05-07T08:00:00.000Z,9
2020-05-08T08:00:00.000Z,4
2020-05-09T08:00:00.000Z,2
2020-05-10T08:00:00.000Z,9
2020-05-11T08:00:00.000Z,12
2020-05-12T08:00:00.000Z,10
2020-05-13T08:00:00.000Z,1
2020-05-14T08:00:00.000Z,6
2020-05-15T08:00:00.000Z,4
2020-05-16T08:00:00.000Z,5
2020-05-17T08:00:00.000Z,6
2020-05-18T08:00:00.000Z,1
2020-05-19T08:00:00.000Z,1
2020-05-20T08:00:00.000Z,1
2020-05-21T08:00:00.000Z,2
2020-05-22T08:00:00.000Z,3
2020-05-23T08:00:00.000Z,7
2020-05-24T08:00:00.000Z,9
2020-05-25T08:00:00.000Z,3
2020-05-26T08:00:00.000Z,6
2020-05-27T08:00:00.000Z,1
2020-05-28T08:00:00.000Z,4
2020-05-29T08:00:00.000Z,2
2020-05-30T08:00:00.000Z,3
2020-05-31T08:00:00.000Z,5
2020-06-01T08:00:00.000Z,4
2020-06-02T08:00:00.000Z,1
2020-06-03T08:00:00.000Z,3
2020-06-04T08:00:00.000Z,1
2020-06-05T08:00:00.000Z,3
2020-06-06T08:00:00.000Z,7
2020-06-07T08:00:00.000Z,2
2020-06-08T08:00:00.000Z,4
2020-06-09T08:00:00.000Z,4
2020-06-10T08:00:00.000Z,4
2020-06-11T08:00:00.000Z,6
2020-06-12T08:00:00.000Z,9
2020-06-13T08:00:00.000Z,7
2020-06-14T08:00:00.000Z,7
2020-06-15T08:00:00.000Z,4
2020-06-16T08:00:00.000Z,2
2020-06-17T08:00:00.000Z,6
2020-06-18T08:00:00.000Z,3
2020-06-19T08:00:00.000Z,3
2020-06-20T08:00:00.000Z,2
2020-06-21T08:00:00.000Z,2
2020-06-22T08:00:00.000Z,2
2020-06-23T08:00:00.000Z,1
2020-06-24T08:00:00.000Z,0
2020-06-25T08:00:00.000Z,0
2020-06-26T08:00:00.000Z,1
2020-06-27T08:00:00.000Z,1
2020-06-28T08:00:00.000Z,2
2020-06-29T08:00:00.000Z,7
2020-06-30T08:00:00.000Z,12
2020-07-01T08:00:00.000Z,1
2020-07-02T08:00:00.000Z,2
2020-07-03T08:00:00.000Z,0
2020-07-04T08:00:00.000Z,0
2020-07-05T08:00:00.000Z,0
2020-07-06T08:00:00.000Z,0
2020-07-07T08:00:00.000Z,1
2020-07-08T08:00:00.000Z,3
2020-07-09T08:00:00.000Z,0
2020-07-10T08:00:00.000Z,4
2020-07-11T08:00:00.000Z,0
2020-07-12T08:00:00.000Z,4
2020-07-13T08:00:00.000Z,2
2020-07-14T08:00:00.000Z,7
2020-07-15T08:00:00.000Z,12
2020-07-16T08:00:00.000Z,4
2020-07-17T08:00:00.000Z,2
2020-07-18T08:00:00.000Z,10
