受付_週,全国地方公共団体コード,都道府県名,市区町村,相談件数
2020-02-10/02-16,141003,神奈川県,横浜市,574
2020-02-17/02-23,141003,神奈川県,横浜市,1429
2020-02-24/03-01,141003,神奈川県,横浜市,1806
2020-03-02/03-08,141003,神奈川県,横浜市,2406
2020-03-09/03-15,141003,神奈川県,横浜市,2000
2020-03-16/03-22,141003,神奈川県,横浜市,1735
2020-03-23/03-29,141003,神奈川県,横浜市,2256
2020-03-30/04-05,141003,神奈川県,横浜市,1960
2020-04-06/04-12,141003,神奈川県,横浜市,2059
2020-04-13/04-19,141003,神奈川県,横浜市,2640
2020-04-20/04-26,141003,神奈川県,横浜市,4358
2020-04-27/05-03,141003,神奈川県,横浜市,3544
2020-05-04/05-10,141003,神奈川県,横浜市,3011
2020-05-11/05-17,141003,神奈川県,横浜市,2279
2020-05-18/05-24,141003,神奈川県,横浜市,1432
2020-05-25/05-31,141003,神奈川県,横浜市,1733
2020-06-01/06-07,141003,神奈川県,横浜市,2106
2020-06-08/06-14,141003,神奈川県,横浜市,1738
2020-06-15/06-21,141003,神奈川県,横浜市,1399
2020-06-22/06-28,141003,神奈川県,横浜市,1333
2020-06-29/07-05,141003,神奈川県,横浜市,1850
2020-07-06/07-12,141003,神奈川県,横浜市,2345
2020-07-13/07-19,141003,神奈川県,横浜市,3372
2020-07-20/07-26,141003,神奈川県,横浜市,3483
2020-07-27/08-02,141003,神奈川県,横浜市,3080
2020-08-03/08-09,141003,神奈川県,横浜市,2956
2020-08-10/08-16,141003,神奈川県,横浜市,2424
2020-08-17/08-23,141003,神奈川県,横浜市,2232
2020-08-24/08-30,141003,神奈川県,横浜市,2252
2020-08-31/09-06,141003,神奈川県,横浜市,2025
2020-09-07/09-13,141003,神奈川県,横浜市,1921
2020-09-14/09-20,141003,神奈川県,横浜市,1700
2020-09-21/09-27,141003,神奈川県,横浜市,1707
2020-09-28/10-04,141003,神奈川県,横浜市,1496
2020-10-05/10-11,141003,神奈川県,横浜市,1445
2020-10-12/10-18,141003,神奈川県,横浜市,1241
2020-10-19/10-25,141003,神奈川県,横浜市,1084
2020-10-26/11-01,141003,神奈川県,横浜市,1089
2020-11-02/11-08,141003,神奈川県,横浜市,980
2020-11-09/11-15,141003,神奈川県,横浜市,875
2020-11-16/11-22,141003,神奈川県,横浜市,1224
2020-11-23/11-30,141003,神奈川県,横浜市,1304
